V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,class
-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,1.0,20.0,5.0,-6.0,0.0,-2.0,1.0,23.0,5.0,-6.0,0.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-3.0,1.0,22.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-3.0,3.0,20.0,5.0,-6.0,-1.0,-2.0,1.0,13.0,7.0,-3.0,-1.0,-3.0,1.0,4.0,3.0,-7.0,0.0,-1.0,0.0,13.0,4.0,-5.0,-1.0,-4.0,3.0,15.0,2.0,-11.0,-1.0,-1.0,2.0,29.0,7.0,-6.0,-1.0,1.0,-1.0,23.0,9.0,2.0,0.0,-2.0,2.0,29.0,3.0,-6.0,0.0,0
-3.0,2.0,22.0,5.0,-8.0,0.0,-2.0,2.0,19.0,5.0,-7.0,0.0,-3.0,2.0,23.0,5.0,-7.0,0.0,-2.0,2.0,22.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,23.0,5.0,-7.0,-1.0,-2.0,2.0,20.0,5.0,-7.0,-1.0,-2.0,2.0,22.0,4.0,-7.0,-1.0,0.0,1.0,23.0,8.0,-4.0,0.0,3.0,0.0,28.0,6.0,1.0,-1.0,0.0,2.0,18.0,7.0,-5.0,-1.0,-2.0,3.0,20.0,2.0,-7.0,0.0,-4.0,3.0,22.0,4.0,-11.0,-1.0,-2.0,2.0,6.0,5.0,-8.0,-1.0,-3.0,3.0,24.0,4.0,-8.0,-1.0,0
-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,19.0,5.0,-7.0,0.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,22.0,4.0,-7.0,-1.0,-2.0,2.0,22.0,4.0,-7.0,-1.0,-2.0,2.0,22.0,5.0,-6.0,-1.0,-2.0,2.0,22.0,5.0,-5.0,-1.0,-2.0,2.0,24.0,2.0,-6.0,0.0,0.0,0.0,22.0,4.0,-3.0,-1.0,-2.0,1.0,31.0,2.0,-6.0,-1.0,-3.0,2.0,23.0,4.0,-8.0,-2.0,-2.0,1.0,29.0,7.0,-5.0,-2.0,-2.0,2.0,41.0,4.0,-5.0,-2.0,-3.0,1.0,3.0,5.0,-6.0,0.0,0
-2.0,2.0,20.0,5.0,-6.0,-1.0,-3.0,1.0,18.0,4.0,-6.0,0.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,1.0,20.0,5.0,-6.0,0.0,-3.0,1.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,3.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-3.0,1.0,9.0,7.0,-8.0,0.0,-4.0,2.0,11.0,3.0,-7.0,-1.0,-6.0,3.0,23.0,-2.0,-11.0,0.0,-3.0,0.0,18.0,7.0,-10.0,0.0,-4.0,0.0,17.0,4.0,-9.0,-1.0,-4.0,0.0,32.0,4.0,-10.0,-1.0,-2.0,1.0,30.0,5.0,-5.0,-1.0,0
-2.0,2.0,20.0,4.0,-7.0,-1.0,-2.0,1.0,19.0,5.0,-7.0,0.0,-2.0,1.0,22.0,5.0,-6.0,0.0,-2.0,1.0,20.0,5.0,-6.0,0.0,-2.0,2.0,22.0,4.0,-7.0,-1.0,-2.0,2.0,20.0,5.0,-6.0,-1.0,-2.0,2.0,20.0,5.0,-7.0,-1.0,-2.0,1.0,19.0,5.0,-7.0,0.0,0.0,0.0,16.0,4.0,-1.0,0.0,-3.0,2.0,20.0,3.0,-6.0,0.0,-1.0,0.0,25.0,4.0,-6.0,-1.0,-2.0,1.0,28.0,5.0,-4.0,0.0,-2.0,4.0,12.0,-1.0,-8.0,-1.0,-3.0,0.0,4.0,6.0,-8.0,0.0,-5.0,4.0,38.0,-1.0,-16.0,-1.0,0
-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,2.0,20.0,4.0,-5.0,-1.0,-2.0,2.0,20.0,4.0,-5.0,-1.0,-2.0,1.0,20.0,3.0,-6.0,0.0,-2.0,1.0,21.0,4.0,-5.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,2.0,19.0,4.0,-6.0,-1.0,-4.0,3.0,19.0,0.0,-10.0,0.0,-2.0,1.0,6.0,3.0,-6.0,0.0,-2.0,1.0,18.0,5.0,-4.0,-1.0,-2.0,0.0,20.0,4.0,-3.0,-2.0,-3.0,3.0,32.0,2.0,-6.0,-1.0,-2.0,1.0,14.0,3.0,-4.0,0.0,0.0,0.0,23.0,6.0,-3.0,-1.0,0
-1.0,1.0,19.0,4.0,-6.0,0.0,-2.0,2.0,18.0,4.0,-6.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,21.0,5.0,-6.0,0.0,-1.0,2.0,21.0,3.0,-6.0,1.0,0.0,1.0,14.0,1.0,-3.0,0.0,-6.0,5.0,11.0,-4.0,-12.0,0.0,-4.0,1.0,4.0,5.0,-6.0,0.0,0.0,0.0,2.0,8.0,-5.0,0.0,0.0,1.0,36.0,3.0,-1.0,-1.0,0.0,1.0,14.0,5.0,-3.0,1.0,1.0,0.0,24.0,11.0,-2.0,0.0,0
-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,18.0,3.0,-5.0,0.0,-2.0,1.0,19.0,3.0,-5.0,0.0,-2.0,1.0,19.0,3.0,-5.0,0.0,-2.0,1.0,23.0,3.0,-5.0,0.0,-2.0,1.0,21.0,4.0,-5.0,0.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-1.0,2.0,21.0,4.0,-5.0,1.0,-3.0,2.0,3.0,-2.0,-8.0,2.0,0.0,0.0,24.0,6.0,-4.0,0.0,-2.0,1.0,16.0,4.0,-3.0,0.0,-5.0,4.0,26.0,-1.0,-6.0,1.0,-3.0,1.0,19.0,4.0,-6.0,0.0,-2.0,0.0,33.0,6.0,-6.0,0.0,-2.0,1.0,16.0,5.0,-9.0,0.0,0
-1.0,2.0,21.0,3.0,-6.0,1.0,-1.0,2.0,17.0,3.0,-6.0,0.0,-1.0,2.0,21.0,3.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,21.0,3.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-4.0,4.0,12.0,1.0,-11.0,0.0,-2.0,2.0,21.0,2.0,-7.0,0.0,1.0,0.0,29.0,7.0,-1.0,0.0,-1.0,2.0,17.0,3.0,-5.0,0.0,2.0,0.0,32.0,6.0,-1.0,0.0,0.0,3.0,17.0,2.0,-10.0,1.0,2.0,0.0,17.0,8.0,-1.0,0.0,0
0.0,1.0,15.0,3.0,-3.0,0.0,-2.0,1.0,32.0,3.0,-7.0,0.0,-1.0,2.0,4.0,-1.0,-7.0,0.0,-1.0,1.0,6.0,5.0,-6.0,0.0,2.0,0.0,17.0,3.0,-4.0,0.0,2.0,0.0,28.0,3.0,-3.0,-1.0,2.0,1.0,24.0,1.0,-4.0,0.0,0.0,1.0,17.0,3.0,-4.0,1.0,-1.0,2.0,18.0,-2.0,-6.0,0.0,0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0
-1.0,2.0,4.0,-1.0,-7.0,0.0,-1.0,1.0,6.0,5.0,-6.0,0.0,2.0,0.0,17.0,3.0,-4.0,0.0,2.0,0.0,28.0,3.0,-3.0,-1.0,2.0,1.0,24.0,1.0,-4.0,0.0,0.0,1.0,17.0,3.0,-4.0,1.0,-1.0,2.0,18.0,-2.0,-6.0,0.0,0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0.0,0.0,22.0,2.0,-6.0,0.0,1.0,0.0,17.0,2.0,-4.0,0.0,0
2.0,0.0,17.0,3.0,-4.0,0.0,2.0,0.0,28.0,3.0,-3.0,-1.0,2.0,1.0,24.0,1.0,-4.0,0.0,0.0,1.0,17.0,3.0,-4.0,1.0,-1.0,2.0,18.0,-2.0,-6.0,0.0,0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0.0,0.0,22.0,2.0,-6.0,0.0,1.0,0.0,17.0,2.0,-4.0,0.0,2.0,0.0,27.0,3.0,-2.0,-1.0,2.0,0.0,15.0,0.0,-4.0,-1.0,0
0.0,1.0,17.0,3.0,-4.0,1.0,-1.0,2.0,18.0,-2.0,-6.0,0.0,0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0.0,0.0,22.0,2.0,-6.0,0.0,1.0,0.0,17.0,2.0,-4.0,0.0,2.0,0.0,27.0,3.0,-2.0,-1.0,2.0,0.0,15.0,0.0,-4.0,-1.0,0.0,0.0,19.0,-1.0,-3.0,-1.0,0.0,0.0,11.0,2.0,-4.0,0.0,0.0,0.0,6.0,0.0,-7.0,0.0,0
-1.0,2.0,18.0,-2.0,-6.0,0.0,0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0.0,0.0,22.0,2.0,-6.0,0.0,1.0,0.0,17.0,2.0,-4.0,0.0,2.0,0.0,27.0,3.0,-2.0,-1.0,2.0,0.0,15.0,0.0,-4.0,-1.0,0.0,0.0,19.0,-1.0,-3.0,-1.0,0.0,0.0,11.0,2.0,-4.0,0.0,0.0,0.0,6.0,0.0,-7.0,0.0,-1.0,1.0,13.0,-4.0,-9.0,0.0,0
0.0,0.0,16.0,1.0,-6.0,-1.0,-1.0,2.0,11.0,-1.0,-8.0,0.0,0.0,0.0,18.0,1.0,-5.0,-1.0,0.0,0.0,11.0,2.0,-8.0,0.0,-1.0,0.0,-1.0,3.0,-4.0,0.0,1.0,0.0,25.0,0.0,-3.0,-2.0,0.0,0.0,22.0,2.0,-6.0,0.0,1.0,0.0,17.0,2.0,-4.0,0.0,2.0,0.0,27.0,3.0,-2.0,-1.0,2.0,0.0,15.0,0.0,-4.0,-1.0,0.0,0.0,19.0,-1.0,-3.0,-1.0,0.0,0.0,11.0,2.0,-4.0,0.0,0.0,0.0,6.0,0.0,-7.0,0.0,-1.0,1.0,13.0,-4.0,-9.0,0.0,-2.0,0.0,10.0,-4.0,-7.0,-2.0,0
-1.0,2.0,18.0,4.0,-7.0,0.0,-1.0,2.0,18.0,4.0,-7.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-1.0,2.0,19.0,4.0,-6.0,1.0,-2.0,1.0,19.0,4.0,-6.0,0.0,-1.0,2.0,18.0,5.0,-6.0,0.0,-1.0,2.0,24.0,2.0,-9.0,0.0,0.0,-1.0,16.0,9.0,-3.0,-1.0,-2.0,3.0,29.0,4.0,-8.0,-1.0,-1.0,0.0,-4.0,4.0,-6.0,0.0,-2.0,1.0,23.0,2.0,-12.0,0.0,0.0,1.0,8.0,4.0,-2.0,0.0,0.0,1.0,17.0,1.0,-3.0,0.0,0
-2.0,1.0,19.0,3.0,-6.0,0.0,-2.0,1.0,18.0,3.0,-5.0,1.0,-2.0,1.0,21.0,3.0,-5.0,0.0,-2.0,0.0,19.0,3.0,-5.0,1.0,-2.0,1.0,21.0,3.0,-5.0,0.0,-2.0,1.0,18.0,3.0,-5.0,0.0,-2.0,1.0,19.0,3.0,-5.0,0.0,-2.0,0.0,19.0,2.0,-6.0,1.0,-2.0,0.0,19.0,1.0,-4.0,1.0,-5.0,4.0,18.0,-3.0,-12.0,1.0,-2.0,0.0,14.0,3.0,-4.0,0.0,-2.0,1.0,26.0,2.0,-6.0,0.0,-4.0,2.0,11.0,0.0,-9.0,0.0,-2.0,0.0,22.0,4.0,-4.0,-1.0,-1.0,1.0,17.0,0.0,-6.0,1.0,0
-2.0,1.0,19.0,4.0,-6.0,0.0,-2.0,1.0,18.0,4.0,-7.0,0.0,-2.0,1.0,20.0,5.0,-6.0,0.0,-2.0,1.0,21.0,5.0,-6.0,0.0,-2.0,1.0,21.0,3.0,-6.0,0.0,-2.0,1.0,21.0,5.0,-6.0,0.0,-2.0,1.0,21.0,5.0,-6.0,0.0,-2.0,1.0,21.0,3.0,-6.0,0.0,-2.0,2.0,15.0,2.0,-9.0,0.0,-1.0,1.0,29.0,3.0,-3.0,-1.0,0.0,1.0,23.0,4.0,-4.0,0.0,0.0,-1.0,3.0,5.0,-5.0,0.0,0.0,0.0,26.0,5.0,-4.0,0.0,-2.0,4.0,19.0,1.0,-11.0,-1.0,0.0,0.0,24.0,2.0,-3.0,-1.0,0
-4.0,0.0,8.0,5.0,-1.0,2.0,-4.0,0.0,7.0,5.0,-2.0,3.0,-4.0,1.0,7.0,5.0,-2.0,2.0,-4.0,0.0,9.0,6.0,-2.0,2.0,-5.0,1.0,5.0,5.0,-1.0,2.0,-4.0,0.0,7.0,5.0,-2.0,2.0,-5.0,1.0,8.0,6.0,-2.0,2.0,-4.0,1.0,8.0,5.0,-1.0,2.0,-4.0,0.0,9.0,5.0,0.0,0.0,-3.0,-1.0,10.0,7.0,-3.0,1.0,-1.0,-1.0,13.0,8.0,7.0,1.0,-6.0,2.0,15.0,4.0,-4.0,1.0,-5.0,0.0,8.0,8.0,-1.0,1.0,-3.0,1.0,22.0,7.0,1.0,0.0,-4.0,1.0,-6.0,2.0,-2.0,1.0,0
-4.0,1.0,7.0,5.0,-2.0,2.0,-4.0,0.0,7.0,5.0,-2.0,3.0,-4.0,1.0,8.0,6.0,-3.0,2.0,-5.0,1.0,8.0,6.0,-2.0,2.0,-5.0,1.0,7.0,5.0,-2.0,2.0,-4.0,1.0,7.0,5.0,-2.0,2.0,-4.0,1.0,7.0,5.0,-2.0,2.0,-5.0,1.0,7.0,5.0,-2.0,2.0,-4.0,1.0,8.0,5.0,1.0,1.0,-4.0,2.0,7.0,3.0,-1.0,2.0,-4.0,2.0,3.0,4.0,-1.0,2.0,-4.0,1.0,0.0,4.0,0.0,2.0,-5.0,1.0,0.0,4.0,1.0,1.0,-3.0,1.0,2.0,4.0,-1.0,2.0,-3.0,3.0,18.0,2.0,1.0,0.0,0
-4.0,0.0,7.0,5.0,-2.0,2.0,-4.0,0.0,5.0,5.0,-3.0,2.0,-4.0,0.0,7.0,5.0,-2.0,2.0,-4.0,0.0,9.0,5.0,-3.0,2.0,-4.0,1.0,8.0,5.0,-3.0,2.0,-4.0,0.0,8.0,4.0,-3.0,2.0,-4.0,0.0,8.0,6.0,-3.0,2.0,-4.0,0.0,8.0,4.0,-3.0,2.0,-1.0,-1.0,17.0,6.0,4.0,1.0,-4.0,-1.0,12.0,5.0,1.0,2.0,-4.0,-1.0,7.0,6.0,-2.0,0.0,-3.0,-1.0,2.0,8.0,2.0,1.0,-4.0,1.0,2.0,-1.0,-5.0,1.0,-3.0,-2.0,7.0,7.0,-1.0,1.0,-3.0,1.0,-2.0,3.0,-4.0,1.0,0
-4.0,0.0,8.0,6.0,-2.0,2.0,-4.0,0.0,5.0,5.0,-3.0,2.0,-4.0,0.0,7.0,5.0,-2.0,2.0,-4.0,0.0,8.0,4.0,-3.0,2.0,-3.0,0.0,8.0,4.0,-2.0,3.0,-4.0,0.0,7.0,5.0,-2.0,2.0,-4.0,0.0,8.0,4.0,-2.0,2.0,-4.0,0.0,8.0,6.0,-2.0,2.0,-6.0,0.0,14.0,4.0,-4.0,1.0,-3.0,0.0,2.0,4.0,-1.0,1.0,-2.0,-1.0,1.0,7.0,2.0,1.0,-4.0,1.0,2.0,3.0,-5.0,1.0,-6.0,0.0,8.0,3.0,-7.0,1.0,-3.0,-1.0,2.0,6.0,2.0,1.0,-5.0,2.0,2.0,0.0,-5.0,1.0,0
-4.0,0.0,8.0,6.0,-2.0,2.0,-4.0,1.0,7.0,6.0,-3.0,2.0,-4.0,0.0,8.0,6.0,-2.0,2.0,-4.0,1.0,8.0,6.0,-3.0,2.0,-4.0,1.0,7.0,5.0,-2.0,2.0,-5.0,1.0,8.0,6.0,-2.0,2.0,-4.0,0.0,8.0,6.0,-2.0,2.0,-4.0,1.0,7.0,5.0,-2.0,2.0,-4.0,1.0,5.0,6.0,-2.0,2.0,-6.0,1.0,5.0,5.0,-6.0,1.0,-4.0,0.0,1.0,5.0,-5.0,2.0,-4.0,1.0,16.0,7.0,-1.0,2.0,-5.0,1.0,-5.0,4.0,-3.0,1.0,-5.0,1.0,7.0,3.0,-3.0,1.0,-2.0,1.0,2.0,6.0,3.0,0.0,0
-4.0,0.0,7.0,5.0,0.0,2.0,-5.0,0.0,5.0,4.0,-1.0,2.0,-4.0,0.0,9.0,4.0,-2.0,2.0,-5.0,-1.0,8.0,6.0,-2.0,2.0,-4.0,-1.0,9.0,5.0,-1.0,2.0,-4.0,0.0,8.0,4.0,-1.0,1.0,-4.0,0.0,8.0,4.0,-2.0,2.0,-4.0,0.0,8.0,4.0,0.0,2.0,-4.0,1.0,5.0,1.0,-2.0,1.0,-4.0,-1.0,5.0,7.0,-2.0,2.0,-6.0,0.0,10.0,2.0,-4.0,0.0,-4.0,0.0,17.0,4.0,0.0,1.0,-3.0,-1.0,9.0,6.0,3.0,1.0,-4.0,0.0,-3.0,5.0,-4.0,1.0,-2.0,1.0,4.0,2.0,2.0,1.0,0
-15.0,22.0,123.0,-98.0,1.0,-15.0,29.0,19.0,13.0,23.0,59.0,17.0,20.0,-14.0,38.0,1.0,44.0,-6.0,8.0,-12.0,23.0,16.0,7.0,-2.0,-2.0,1.0,16.0,3.0,7.0,-2.0,-2.0,2.0,22.0,0.0,8.0,-3.0,-1.0,2.0,21.0,1.0,7.0,-2.0,-4.0,3.0,19.0,1.0,5.0,-4.0,-4.0,1.0,19.0,4.0,4.0,-3.0,-6.0,3.0,4.0,-4.0,3.0,-4.0,-3.0,3.0,15.0,2.0,3.0,-4.0,-3.0,2.0,22.0,1.0,7.0,-3.0,-4.0,2.0,18.0,-1.0,5.0,-3.0,-5.0,3.0,3.0,-5.0,1.0,-4.0,-6.0,5.0,3.0,-7.0,1.0,-3.0,1
35.0,3.0,81.0,-26.0,135.0,6.0,3.0,-2.0,100.0,-5.0,37.0,14.0,15.0,-11.0,55.0,8.0,33.0,3.0,17.0,2.0,29.0,-18.0,35.0,14.0,1.0,-6.0,55.0,5.0,19.0,-11.0,11.0,-1.0,63.0,3.0,51.0,-13.0,14.0,-5.0,38.0,2.0,58.0,-3.0,12.0,-14.0,2.0,17.0,10.0,-1.0,25.0,-22.0,-1.0,27.0,31.0,1.0,24.0,-19.0,7.0,25.0,30.0,0.0,16.0,-15.0,10.0,20.0,19.0,-1.0,21.0,-12.0,23.0,14.0,23.0,0.0,-2.0,-2.0,9.0,1.0,0.0,0.0,-1.0,-2.0,-9.0,-1.0,-1.0,-1.0,-2.0,0.0,-7.0,-4.0,-1.0,0.0,1
49.0,-5.0,16.0,7.0,64.0,0.0,24.0,-30.0,28.0,46.0,33.0,-1.0,16.0,-20.0,22.0,31.0,26.0,0.0,15.0,1.0,5.0,3.0,26.0,1.0,1.0,15.0,14.0,-20.0,4.0,0.0,-13.0,11.0,-4.0,-11.0,-12.0,-1.0,-14.0,0.0,5.0,4.0,-15.0,-1.0,3.0,-2.0,-1.0,1.0,0.0,0.0,4.0,0.0,-3.0,1.0,5.0,0.0,2.0,1.0,4.0,-3.0,0.0,-1.0,3.0,1.0,-3.0,-2.0,2.0,-1.0,1.0,0.0,-3.0,-1.0,1.0,-1.0,-1.0,0.0,-10.0,-2.0,-1.0,-1.0,1.0,-1.0,2.0,1.0,3.0,-1.0,3.0,-4.0,-3.0,7.0,3.0,-1.0,1
12.0,-6.0,25.0,13.0,17.0,-1.0,10.0,-2.0,10.0,3.0,10.0,0.0,10.0,-1.0,16.0,6.0,13.0,-1.0,6.0,0.0,15.0,3.0,6.0,-1.0,7.0,-1.0,21.0,3.0,7.0,-1.0,8.0,-3.0,26.0,10.0,12.0,-2.0,5.0,-1.0,5.0,3.0,1.0,0.0,-9.0,5.0,6.0,-3.0,-10.0,0.0,-12.0,7.0,-10.0,-10.0,-15.0,-1.0,-12.0,13.0,-10.0,-17.0,-18.0,-1.0,-11.0,11.0,-4.0,-12.0,-13.0,-1.0,-14.0,7.0,10.0,-8.0,-18.0,-1.0,-4.0,0.0,5.0,1.0,-5.0,-1.0,-4.0,0.0,10.0,1.0,-2.0,-1.0,-3.0,0.0,-13.0,-1.0,-5.0,-1.0,1
17.0,-36.0,-29.0,-4.0,22.0,-66.0,-10.0,6.0,22.0,11.0,-13.0,6.0,-2.0,17.0,-5.0,-21.0,-7.0,3.0,-3.0,6.0,10.0,-6.0,-7.0,0.0,-17.0,-2.0,-2.0,5.0,-23.0,-1.0,-3.0,3.0,-3.0,-1.0,-4.0,-2.0,-2.0,2.0,2.0,-1.0,-4.0,-2.0,-4.0,3.0,3.0,-1.0,-7.0,-2.0,-4.0,2.0,8.0,0.0,-6.0,-1.0,-2.0,0.0,-3.0,2.0,-3.0,-1.0,-2.0,1.0,4.0,-2.0,-5.0,-2.0,-1.0,0.0,-9.0,0.0,-3.0,-1.0,-1.0,1.0,1.0,-2.0,-4.0,-2.0,0.0,-1.0,4.0,5.0,3.0,-1.0,-1.0,-1.0,-6.0,3.0,4.0,-1.0,1
-11.0,9.0,16.0,-17.0,-22.0,6.0,-17.0,4.0,10.0,-2.0,-28.0,-2.0,3.0,2.0,-2.0,-1.0,7.0,0.0,-11.0,6.0,4.0,-3.0,-10.0,-1.0,-18.0,7.0,-1.0,-8.0,-18.0,-1.0,-20.0,11.0,7.0,-9.0,-21.0,-1.0,-16.0,10.0,-7.0,-10.0,-20.0,-2.0,-16.0,9.0,-3.0,-11.0,-18.0,-2.0,-13.0,6.0,10.0,-5.0,-17.0,-2.0,-1.0,-1.0,-11.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,-4.0,-2.0,-1.0,-1.0,8.0,1.0,1.0,-1.0,0.0,0.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,3.0,1.0,-2.0,-1.0,-1.0,-2.0,1.0,2.0,-1.0,1
