V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,class
-36.0,-24.0,-6.0,87.0,-44.0,-34.0,10.0,-4.0,-2.0,9.0,15.0,-2.0,8.0,-6.0,3.0,8.0,11.0,-1.0,4.0,-5.0,8.0,8.0,8.0,-1.0,2.0,-1.0,1.0,4.0,3.0,-1.0,-2.0,0.0,10.0,-3.0,-3.0,-1.0,-4.0,2.0,4.0,-3.0,-5.0,0.0,-6.0,2.0,4.0,0.0,-8.0,-1.0,-2.0,0.0,9.0,1.0,-3.0,-1.0,-4.0,1.0,2.0,-3.0,-5.0,-2.0,-4.0,1.0,-16.0,-3.0,-5.0,-2.0,-2.0,0.0,19.0,3.0,0.0,-2.0,-4.0,1.0,10.0,-2.0,-3.0,-2.0,-1.0,-2.0,-4.0,-1.0,-3.0,-2.0,-1.0,0.0,-4.0,0.0,-3.0,-1.0,1
-22.0,12.0,-3.0,-14.0,-28.0,-2.0,-23.0,10.0,-4.0,-9.0,-25.0,-3.0,-22.0,11.0,-15.0,-11.0,-29.0,-2.0,-15.0,9.0,4.0,-9.0,-16.0,-2.0,-11.0,7.0,-4.0,-8.0,-15.0,-3.0,-6.0,2.0,-7.0,1.0,-7.0,-3.0,-2.0,-2.0,-11.0,3.0,-4.0,-2.0,-2.0,1.0,-9.0,-1.0,-2.0,-3.0,-2.0,1.0,4.0,0.0,1.0,-3.0,0.0,1.0,8.0,2.0,4.0,-3.0,-1.0,0.0,-5.0,0.0,1.0,-3.0,1.0,0.0,-4.0,2.0,0.0,-3.0,0.0,1.0,-4.0,-2.0,2.0,-4.0,-1.0,-1.0,-21.0,-2.0,-1.0,-4.0,0.0,1.0,-2.0,-2.0,0.0,-4.0,1
-29.0,-6.0,4.0,8.0,-32.0,-2.0,-24.0,5.0,-6.0,-7.0,-28.0,-1.0,-19.0,16.0,-5.0,-20.0,-14.0,-3.0,-22.0,13.0,-7.0,-15.0,-22.0,-4.0,-25.0,3.0,-1.0,-5.0,-27.0,-2.0,-17.0,-1.0,-3.0,1.0,-16.0,-3.0,-11.0,3.0,-2.0,-4.0,-9.0,-2.0,-1.0,0.0,3.0,0.0,4.0,-3.0,-3.0,-1.0,-18.0,-1.0,1.0,-2.0,-3.0,-1.0,-3.0,-3.0,1.0,-3.0,-3.0,0.0,-13.0,0.0,0.0,-3.0,-4.0,1.0,5.0,-2.0,2.0,-3.0,-3.0,0.0,-20.0,-1.0,2.0,-4.0,-2.0,-2.0,2.0,-3.0,3.0,-4.0,-1.0,-1.0,-10.0,0.0,6.0,-4.0,1
59.0,-6.0,46.0,41.0,191.0,-14.0,32.0,-2.0,47.0,22.0,112.0,-23.0,43.0,9.0,23.0,-6.0,144.0,-30.0,30.0,0.0,56.0,11.0,125.0,-35.0,28.0,7.0,45.0,0.0,114.0,-27.0,22.0,5.0,31.0,0.0,89.0,-23.0,18.0,7.0,52.0,2.0,75.0,-19.0,-2.0,3.0,12.0,-6.0,-14.0,-1.0,0.0,1.0,12.0,-8.0,-9.0,-4.0,1.0,3.0,23.0,4.0,-3.0,-1.0,-1.0,0.0,6.0,-6.0,-13.0,-1.0,1.0,-1.0,13.0,-9.0,-9.0,0.0,2.0,0.0,-3.0,-13.0,-13.0,-3.0,0.0,1.0,3.0,-19.0,-17.0,-2.0,0.0,1.0,-1.0,-11.0,-17.0,-2.0,1
25.0,12.0,40.0,-29.0,61.0,-5.0,66.0,45.0,98.0,-107.0,158.0,1.0,-3.0,-1.0,8.0,-13.0,-1.0,2.0,-4.0,2.0,-1.0,-12.0,-14.0,0.0,-4.0,2.0,18.0,0.0,-4.0,0.0,-5.0,-2.0,24.0,1.0,-16.0,-5.0,-4.0,2.0,25.0,0.0,-13.0,-8.0,-2.0,0.0,5.0,-8.0,-14.0,-6.0,-1.0,2.0,19.0,2.0,-12.0,-6.0,2.0,-2.0,-27.0,-19.0,-30.0,-3.0,11.0,3.0,-30.0,6.0,-4.0,3.0,22.0,10.0,-32.0,7.0,42.0,22.0,15.0,2.0,-240.0,36.0,38.0,0.0,13.0,-2.0,-193.0,32.0,37.0,-10.0,3.0,-14.0,-210.0,26.0,11.0,-68.0,1
19.0,30.0,44.0,-117.0,37.0,40.0,-32.0,7.0,23.0,-7.0,-66.0,0.0,-9.0,10.0,-14.0,-19.0,-1.0,0.0,-11.0,3.0,-13.0,-7.0,-9.0,-2.0,-9.0,6.0,4.0,-10.0,1.0,-1.0,-8.0,-2.0,8.0,-1.0,-2.0,0.0,-2.0,0.0,2.0,-2.0,9.0,-3.0,-2.0,0.0,7.0,-2.0,5.0,-1.0,-8.0,1.0,3.0,-9.0,-5.0,0.0,-4.0,1.0,14.0,-7.0,2.0,0.0,-4.0,2.0,0.0,-10.0,4.0,-1.0,78.0,1.0,91.0,37.0,250.0,-54.0,4.0,-1.0,7.0,-13.0,-10.0,-6.0,2.0,0.0,-13.0,-16.0,-15.0,-5.0,2.0,1.0,-1.0,-15.0,-18.0,-4.0,1
16.0,16.0,31.0,-26.0,69.0,-27.0,12.0,8.0,11.0,-29.0,54.0,-26.0,-9.0,5.0,24.0,-9.0,-15.0,-5.0,-6.0,0.0,15.0,0.0,-21.0,17.0,-4.0,-2.0,2.0,-8.0,-17.0,-14.0,-9.0,6.0,22.0,-10.0,-10.0,-28.0,-7.0,6.0,27.0,2.0,-12.0,8.0,-2.0,1.0,16.0,0.0,-9.0,-1.0,0.0,-1.0,16.0,3.0,-4.0,-2.0,0.0,-1.0,25.0,3.0,-2.0,-1.0,0.0,-2.0,17.0,5.0,-1.0,-3.0,-1.0,1.0,27.0,-1.0,-2.0,-3.0,0.0,2.0,10.0,-11.0,-8.0,-4.0,-1.0,0.0,-8.0,-10.0,-15.0,-4.0,0.0,1.0,5.0,-7.0,-9.0,-3.0,1
-19.0,4.0,47.0,-47.0,-57.0,-30.0,-28.0,31.0,30.0,-135.0,-78.0,-40.0,-31.0,34.0,45.0,-167.0,-91.0,-49.0,-24.0,42.0,50.0,-221.0,-82.0,-42.0,-16.0,55.0,35.0,-266.0,-52.0,-23.0,0.0,1.0,22.0,-4.0,9.0,9.0,-7.0,8.0,21.0,-14.0,0.0,-2.0,0.0,4.0,22.0,-7.0,-26.0,15.0,-2.0,0.0,16.0,-7.0,8.0,-3.0,-1.0,-1.0,11.0,2.0,5.0,-2.0,-1.0,1.0,15.0,2.0,2.0,-2.0,-1.0,0.0,18.0,6.0,5.0,-2.0,-3.0,-1.0,17.0,3.0,2.0,-2.0,-2.0,1.0,-5.0,1.0,-2.0,-2.0,-2.0,0.0,10.0,4.0,1.0,-3.0,1
15.0,-13.0,-4.0,39.0,-31.0,84.0,-14.0,3.0,1.0,-4.0,-87.0,-10.0,-27.0,5.0,-17.0,-27.0,-23.0,-5.0,-19.0,4.0,6.0,-4.0,-13.0,-2.0,-8.0,0.0,14.0,-10.0,12.0,-5.0,-2.0,-2.0,6.0,-4.0,15.0,-6.0,-2.0,-1.0,11.0,-7.0,10.0,-2.0,-2.0,-1.0,11.0,-6.0,5.0,-2.0,-2.0,-1.0,10.0,-5.0,6.0,-2.0,-2.0,-1.0,9.0,-6.0,6.0,-2.0,-2.0,0.0,9.0,-5.0,5.0,-2.0,-2.0,0.0,11.0,-6.0,5.0,-2.0,-2.0,0.0,9.0,-6.0,6.0,-2.0,-2.0,-1.0,12.0,-5.0,5.0,-2.0,-2.0,-1.0,11.0,-6.0,5.0,-2.0,1
40.0,-13.0,27.0,26.0,55.0,1.0,32.0,-4.0,31.0,5.0,49.0,0.0,27.0,-8.0,36.0,16.0,42.0,0.0,20.0,-14.0,22.0,24.0,31.0,-1.0,20.0,-13.0,15.0,22.0,27.0,-1.0,16.0,-6.0,30.0,13.0,24.0,-2.0,13.0,0.0,34.0,4.0,21.0,-1.0,1.0,0.0,4.0,2.0,-1.0,-1.0,1.0,-1.0,23.0,7.0,-1.0,-1.0,0.0,0.0,19.0,5.0,3.0,-1.0,0.0,0.0,18.0,1.0,-2.0,-1.0,24.0,-217.0,179.0,1016.0,339.0,-233.0,-14.0,-7.0,-32.0,14.0,1.0,-53.0,-70.0,-12.0,18.0,8.0,-153.0,-8.0,-4.0,1.0,9.0,-7.0,-3.0,-1.0,1
-12.0,-5.0,20.0,-3.0,-24.0,0.0,0.0,17.0,11.0,-31.0,-5.0,-1.0,-1.0,9.0,32.0,-9.0,6.0,-1.0,-10.0,0.0,23.0,8.0,-11.0,0.0,-3.0,0.0,18.0,4.0,-4.0,-2.0,-4.0,1.0,13.0,2.0,-3.0,-2.0,-4.0,2.0,10.0,1.0,-7.0,-2.0,-4.0,2.0,19.0,-1.0,-10.0,-2.0,-4.0,2.0,17.0,2.0,-3.0,-2.0,-4.0,2.0,27.0,2.0,-6.0,-2.0,-2.0,0.0,5.0,1.0,-6.0,-1.0,-1.0,0.0,23.0,3.0,0.0,-2.0,0.0,-1.0,3.0,2.0,-5.0,-1.0,-2.0,0.0,23.0,2.0,-5.0,-1.0,-4.0,2.0,15.0,-1.0,-9.0,-2.0,1
-13.0,-7.0,18.0,19.0,-15.0,0.0,-11.0,3.0,10.0,-5.0,-17.0,-2.0,-9.0,8.0,18.0,-11.0,-13.0,-2.0,-9.0,9.0,17.0,-11.0,-16.0,-1.0,-12.0,5.0,20.0,-2.0,-16.0,-2.0,-13.0,-2.0,18.0,6.0,-19.0,-1.0,-11.0,2.0,13.0,-2.0,-18.0,0.0,-3.0,0.0,22.0,2.0,0.0,-2.0,-4.0,1.0,24.0,-1.0,-8.0,-1.0,-3.0,0.0,15.0,2.0,-9.0,-2.0,-4.0,2.0,24.0,-3.0,-8.0,-2.0,-3.0,0.0,23.0,2.0,-8.0,-2.0,-4.0,2.0,13.0,-1.0,-8.0,-2.0,-2.0,-1.0,22.0,2.0,-2.0,-2.0,-2.0,-1.0,22.0,2.0,-2.0,-2.0,1
-53.0,16.0,-17.0,-39.0,-98.0,-22.0,-48.0,19.0,8.0,-32.0,-61.0,3.0,-40.0,19.0,12.0,-29.0,-55.0,-2.0,-31.0,16.0,6.0,-32.0,-23.0,-5.0,-22.0,8.0,-2.0,-17.0,-11.0,-4.0,-6.0,0.0,-15.0,-6.0,2.0,-4.0,-5.0,-2.0,-6.0,-5.0,6.0,-3.0,-5.0,-1.0,8.0,-4.0,10.0,-3.0,-2.0,-2.0,-5.0,-6.0,15.0,-2.0,-4.0,-1.0,8.0,-3.0,15.0,-1.0,-4.0,-2.0,7.0,-7.0,18.0,-4.0,-8.0,-1.0,-24.0,-7.0,4.0,-5.0,4.0,-8.0,-165.0,9.0,23.0,-5.0,4.0,-9.0,-165.0,9.0,24.0,-5.0,5.0,-9.0,-164.0,7.0,24.0,-6.0,1
-39.0,3.0,11.0,5.0,-67.0,-2.0,-34.0,31.0,17.0,-60.0,-62.0,-16.0,-20.0,30.0,17.0,-51.0,-38.0,15.0,-7.0,1.0,14.0,-16.0,-17.0,-8.0,-4.0,5.0,21.0,-10.0,-13.0,-4.0,1.0,6.0,18.0,-13.0,2.0,-4.0,-1.0,10.0,16.0,-24.0,-4.0,-8.0,8.0,-1.0,23.0,5.0,10.0,-2.0,7.0,-1.0,18.0,5.0,7.0,-1.0,2.0,-3.0,28.0,7.0,3.0,-2.0,0.0,-5.0,15.0,9.0,-2.0,-1.0,-1.0,-6.0,20.0,11.0,-2.0,-2.0,1.0,-1.0,17.0,5.0,0.0,-2.0,0.0,1.0,26.0,2.0,-2.0,-1.0,-5.0,0.0,20.0,-3.0,-11.0,-3.0,1
-15.0,22.0,123.0,-98.0,1.0,-15.0,29.0,19.0,13.0,23.0,59.0,17.0,20.0,-14.0,38.0,1.0,44.0,-6.0,8.0,-12.0,23.0,16.0,7.0,-2.0,-2.0,1.0,16.0,3.0,7.0,-2.0,-2.0,2.0,22.0,0.0,8.0,-3.0,-1.0,2.0,21.0,1.0,7.0,-2.0,-4.0,3.0,19.0,1.0,5.0,-4.0,-4.0,1.0,19.0,4.0,4.0,-3.0,-6.0,3.0,4.0,-4.0,3.0,-4.0,-3.0,3.0,15.0,2.0,3.0,-4.0,-3.0,2.0,22.0,1.0,7.0,-3.0,-4.0,2.0,18.0,-1.0,5.0,-3.0,-5.0,3.0,3.0,-5.0,1.0,-4.0,-6.0,5.0,3.0,-7.0,1.0,-3.0,1
-46.0,66.0,-21.0,-115.0,-11.0,-1.0,-71.0,3.0,8.0,-15.0,-78.0,-2.0,-79.0,9.0,13.0,-3.0,-111.0,-2.0,-44.0,29.0,-11.0,-36.0,-67.0,-3.0,-15.0,28.0,-6.0,-32.0,-15.0,-3.0,-15.0,7.0,9.0,0.0,-19.0,-2.0,-7.0,-11.0,30.0,23.0,-8.0,-2.0,-5.0,5.0,-1.0,-3.0,-4.0,-3.0,-6.0,3.0,2.0,1.0,-5.0,-3.0,-6.0,3.0,-1.0,2.0,-6.0,-2.0,-4.0,3.0,19.0,2.0,-1.0,-2.0,-5.0,3.0,2.0,-1.0,-5.0,-3.0,-4.0,2.0,8.0,2.0,-3.0,-3.0,-2.0,2.0,13.0,1.0,0.0,-2.0,-1.0,1.0,19.0,7.0,4.0,-3.0,1
-14.0,11.0,-10.0,-10.0,-19.0,-2.0,-9.0,4.0,4.0,-1.0,-11.0,-3.0,-12.0,-3.0,-6.0,12.0,-16.0,-3.0,-7.0,-2.0,-2.0,9.0,-8.0,-3.0,-3.0,-2.0,4.0,7.0,-2.0,-3.0,1.0,0.0,1.0,5.0,5.0,-3.0,1.0,-1.0,12.0,6.0,5.0,-3.0,1.0,1.0,4.0,2.0,5.0,-4.0,1.0,2.0,-10.0,1.0,2.0,-3.0,-1.0,0.0,10.0,3.0,3.0,-3.0,1.0,1.0,9.0,6.0,8.0,-4.0,0.0,1.0,4.0,4.0,7.0,-3.0,-1.0,0.0,10.0,3.0,3.0,-3.0,1.0,1.0,9.0,6.0,8.0,-4.0,0.0,1.0,4.0,4.0,7.0,-3.0,1
20.0,-16.0,9.0,26.0,29.0,-1.0,24.0,-3.0,30.0,8.0,38.0,-4.0,27.0,-9.0,-2.0,19.0,40.0,-2.0,27.0,-13.0,17.0,20.0,39.0,-2.0,20.0,-13.0,3.0,22.0,29.0,-1.0,16.0,-11.0,21.0,19.0,29.0,-3.0,20.0,-7.0,12.0,17.0,33.0,-2.0,-1.0,0.0,-8.0,4.0,2.0,-4.0,-1.0,0.0,2.0,4.0,4.0,-4.0,1.0,0.0,2.0,3.0,7.0,-3.0,-1.0,2.0,-1.0,0.0,4.0,-4.0,0.0,0.0,6.0,3.0,6.0,-4.0,-3.0,3.0,-5.0,-1.0,-5.0,-5.0,-3.0,1.0,-8.0,1.0,-2.0,-5.0,-1.0,1.0,-3.0,4.0,0.0,-5.0,1
30.0,-30.0,34.0,43.0,45.0,0.0,42.0,-31.0,26.0,47.0,63.0,-1.0,37.0,-21.0,14.0,29.0,53.0,-1.0,26.0,-14.0,20.0,16.0,40.0,-1.0,26.0,-14.0,16.0,19.0,41.0,-2.0,26.0,-18.0,9.0,27.0,42.0,-1.0,22.0,-13.0,9.0,18.0,35.0,-1.0,-1.0,0.0,2.0,-1.0,5.0,-4.0,-2.0,1.0,2.0,-2.0,1.0,-4.0,-1.0,-1.0,-1.0,1.0,2.0,-3.0,-2.0,0.0,10.0,-1.0,1.0,-2.0,-2.0,0.0,1.0,-1.0,0.0,-3.0,-1.0,0.0,2.0,-1.0,5.0,-4.0,-2.0,1.0,2.0,-2.0,1.0,-4.0,-1.0,-1.0,-1.0,1.0,2.0,-3.0,1
-74.0,30.0,55.0,-149.0,-163.0,20.0,-38.0,53.0,0.0,-83.0,-93.0,1.0,-47.0,10.0,-26.0,31.0,-67.0,-1.0,-57.0,21.0,16.0,-18.0,-70.0,-4.0,-55.0,21.0,5.0,-36.0,-68.0,-2.0,-42.0,24.0,-2.0,-36.0,-51.0,-4.0,-39.0,23.0,2.0,-30.0,-47.0,-4.0,3.0,-3.0,8.0,4.0,8.0,-3.0,1.0,-1.0,16.0,4.0,9.0,-3.0,1.0,-1.0,3.0,1.0,6.0,-3.0,1.0,-1.0,7.0,2.0,6.0,-3.0,1.0,-2.0,-6.0,4.0,7.0,-2.0,-2.0,1.0,5.0,-3.0,1.0,-4.0,-1.0,1.0,-4.0,-2.0,2.0,-4.0,-1.0,0.0,8.0,1.0,3.0,-5.0,1
-27.0,18.0,-3.0,-26.0,-39.0,-4.0,-34.0,10.0,6.0,-8.0,-45.0,-3.0,-32.0,4.0,2.0,-5.0,-43.0,-3.0,-15.0,-4.0,4.0,6.0,-18.0,-3.0,-12.0,-2.0,-3.0,2.0,-13.0,-2.0,-12.0,-1.0,16.0,4.0,-12.0,-2.0,-12.0,-2.0,9.0,7.0,-11.0,-3.0,0.0,0.0,14.0,0.0,8.0,-4.0,-1.0,0.0,3.0,1.0,4.0,-3.0,-1.0,-1.0,19.0,0.0,5.0,-3.0,1.0,-3.0,9.0,4.0,9.0,-4.0,-2.0,0.0,-9.0,-2.0,-2.0,-3.0,-1.0,0.0,3.0,1.0,4.0,-3.0,-1.0,-1.0,19.0,0.0,5.0,-3.0,1.0,-3.0,9.0,4.0,9.0,-4.0,1
188.0,-1.0,-42.0,220.0,192.0,-15.0,114.0,-17.0,95.0,30.0,153.0,2.0,95.0,-74.0,16.0,91.0,142.0,4.0,86.0,-67.0,31.0,101.0,119.0,-8.0,10.0,-6.0,3.0,10.0,18.0,-3.0,8.0,-4.0,11.0,8.0,18.0,-3.0,8.0,-2.0,9.0,4.0,18.0,-3.0,8.0,-2.0,12.0,7.0,15.0,-4.0,6.0,-2.0,3.0,4.0,13.0,-3.0,-4.0,1.0,3.0,-2.0,1.0,-4.0,-4.0,2.0,-6.0,-1.0,2.0,-4.0,-1.0,0.0,17.0,3.0,8.0,-5.0,0.0,-1.0,9.0,-1.0,5.0,-4.0,-2.0,2.0,9.0,-4.0,-1.0,-4.0,-1.0,1.0,-8.0,-2.0,2.0,-4.0,1
-116.0,41.0,-50.0,14.0,-206.0,-24.0,-84.0,-7.0,9.0,24.0,-131.0,-17.0,-54.0,9.0,-10.0,-18.0,-53.0,1.0,-49.0,44.0,9.0,-65.0,-54.0,-1.0,-55.0,31.0,-8.0,-41.0,-68.0,-3.0,-3.0,0.0,18.0,1.0,6.0,-2.0,-4.0,1.0,-6.0,-2.0,3.0,-2.0,-4.0,0.0,12.0,-1.0,1.0,-2.0,-4.0,-1.0,13.0,0.0,-1.0,-1.0,-3.0,0.0,1.0,-2.0,2.0,-2.0,0.0,-1.0,6.0,1.0,6.0,-3.0,-3.0,0.0,3.0,-2.0,4.0,-3.0,-1.0,-3.0,-4.0,0.0,7.0,-4.0,-4.0,1.0,8.0,-8.0,0.0,-4.0,-2.0,-1.0,4.0,1.0,5.0,-5.0,1
1.0,-26.0,-517.0,95.0,40.0,-33.0,-8.0,-30.0,-723.0,113.0,17.0,-15.0,-3.0,-95.0,-1415.0,-68.0,207.0,-29.0,10.0,-178.0,-2203.0,-143.0,384.0,-30.0,-27.0,-244.0,-2589.0,-106.0,356.0,-7.0,-103.0,-320.0,-2804.0,-32.0,241.0,29.0,-168.0,-382.0,-2957.0,46.0,151.0,31.0,-138.0,-331.0,-2693.0,-142.0,194.0,8.0,-138.0,-330.0,-2690.0,-145.0,203.0,4.0,-139.0,-328.0,-2680.0,-147.0,223.0,6.0,-136.0,-326.0,-2680.0,-156.0,208.0,4.0,-134.0,-325.0,-2672.0,-158.0,207.0,5.0,-125.0,-313.0,-2619.0,-189.0,228.0,4.0,-125.0,-311.0,-2616.0,-189.0,227.0,3.0,-123.0,-314.0,-2616.0,-186.0,217.0,6.0,0
-17.0,-30.0,-163.0,-115.0,33.0,3.0,-21.0,-40.0,-431.0,-90.0,96.0,7.0,-18.0,-93.0,-1175.0,-231.0,258.0,10.0,35.0,-33.0,13.0,49.0,51.0,-3.0,18.0,-13.0,24.0,17.0,22.0,-2.0,7.0,-2.0,16.0,0.0,6.0,-2.0,2.0,0.0,5.0,-4.0,-1.0,-2.0,7.0,-2.0,16.0,0.0,6.0,-2.0,-14.0,6.0,7.0,-12.0,-25.0,-2.0,7.0,-2.0,16.0,0.0,6.0,-2.0,2.0,0.0,5.0,-4.0,-1.0,-2.0,-14.0,6.0,7.0,-12.0,-25.0,-2.0,-14.0,6.0,7.0,-12.0,-25.0,-2.0,2.0,0.0,5.0,-4.0,-1.0,-2.0,-14.0,6.0,7.0,-12.0,-25.0,-2.0,1
-13.0,-13.0,-29.0,29.0,27.0,-13.0,-11.0,-12.0,-30.0,26.0,37.0,-8.0,-11.0,-13.0,-28.0,29.0,34.0,-14.0,-11.0,-26.0,-122.0,68.0,147.0,-13.0,-6.0,-27.0,-120.0,74.0,178.0,-36.0,8.0,-25.0,-87.0,66.0,180.0,-25.0,19.0,-15.0,-69.0,36.0,144.0,-12.0,23.0,-20.0,-62.0,45.0,166.0,-15.0,23.0,-18.0,-67.0,45.0,183.0,-16.0,19.0,-14.0,-53.0,30.0,144.0,-11.0,-492.0,-364.0,-3018.0,185.0,72.0,-199.0,-473.0,-364.0,-3028.0,77.0,211.0,-167.0,-472.0,-352.0,-3161.0,-22.0,355.0,-145.0,-377.0,-198.0,-2021.0,-45.0,167.0,-25.0,-272.0,-227.0,-302.0,173.0,-413.0,-49.0,0
-3.0,-5.0,-14.0,24.0,35.0,-4.0,-7.0,-2.0,-26.0,22.0,41.0,-3.0,-7.0,-1.0,-46.0,22.0,44.0,-2.0,-9.0,1.0,-48.0,19.0,52.0,0.0,-6.0,2.0,-31.0,17.0,56.0,3.0,-4.0,1.0,-36.0,20.0,61.0,3.0,-6.0,0.0,-63.0,30.0,65.0,1.0,-50.0,-31.0,-371.0,-12.0,-50.0,-44.0,-27.0,-28.0,-359.0,-2.0,5.0,-45.0,-31.0,-31.0,-526.0,27.0,81.0,-89.0,-69.0,-52.0,-1008.0,27.0,182.0,-192.0,-100.0,-35.0,-1421.0,-23.0,272.0,-220.0,-162.0,-6.0,-1831.0,-115.0,285.0,-197.0,-240.0,-4.0,-2233.0,-153.0,274.0,-248.0,-80.0,13.0,-564.0,-48.0,63.0,-21.0,0
10.0,-13.0,-57.0,70.0,11.0,17.0,15.0,11.0,-87.0,43.0,28.0,11.0,23.0,29.0,-108.0,19.0,41.0,11.0,12.0,18.0,-125.0,37.0,16.0,9.0,-238.0,229.0,-735.0,-824.0,-725.0,-9.0,36.0,-8.0,-1384.0,-101.0,-161.0,-59.0,17.0,-8.0,-1344.0,-137.0,-190.0,-88.0,4.0,7.0,-1230.0,-166.0,-199.0,-91.0,-1.0,10.0,-1221.0,-169.0,-216.0,-83.0,36.0,-8.0,-1384.0,-101.0,-161.0,-59.0,4.0,7.0,-1230.0,-166.0,-199.0,-91.0,-1.0,10.0,-1221.0,-169.0,-216.0,-83.0,36.0,-8.0,-1384.0,-101.0,-161.0,-59.0,17.0,-8.0,-1344.0,-137.0,-190.0,-88.0,4.0,7.0,-1230.0,-166.0,-199.0,-91.0,0
