V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,class
1.62,3537.0,0.14,0.0,v2,v2,4324.0,v3,2.0,v2,1.62,0.0,0
4.69,3086.0,0.57,2.0,v2,v2,3215.0,v1,0.0,v3,2.02,2.0,0
5.49,3082.0,0.45,0.0,v1,v1,3910.0,v1,1.0,v2,1.2,1.0,0
3.22,3536.0,0.14,1.0,v2,v1,5625.0,v1,2.0,v3,1.29,0.0,0
5.72,3520.0,0.14,0.0,v1,v2,4621.0,v1,0.0,v3,1.48,2.0,0
2.19,3186.0,0.54,2.0,v2,v1,4585.0,v1,0.0,v2,1.69,1.0,0
2.22,3136.0,0.42,1.0,v2,v1,4511.0,v3,1.0,v3,1.24,0.0,1
1.84,3069.0,0.21,2.0,v1,v2,7034.0,v1,2.0,v1,0.55,1.0,0
2.87,3463.0,0.52,0.0,v2,v2,6982.0,v1,0.0,v1,1.8,2.0,0
6.54,3466.0,0.13,0.0,v1,v2,3371.0,v3,2.0,v2,1.36,2.0,0
6.98,3109.0,0.4,0.0,v1,v1,7225.0,v1,2.0,v2,0.58,1.0,1
3.91,3498.0,0.46,0.0,v1,v1,7301.0,v1,0.0,v3,1.15,0.0,1
1.42,3071.0,0.66,2.0,v1,v1,4569.0,v1,0.0,v2,1.62,1.0,0
7.23,3489.0,0.39,2.0,v1,v1,3534.0,v1,1.0,v2,0.91,1.0,1
1.73,3488.0,0.35,2.0,v2,v2,3239.0,v1,1.0,v1,1.99,0.0,0
5.79,3070.0,0.53,0.0,v1,v2,7339.0,v1,1.0,v2,0.99,2.0,1
2.13,3110.0,0.13,1.0,v1,v1,6752.0,v1,0.0,v2,2.04,1.0,1
1.85,3448.0,0.61,2.0,v1,v2,4810.0,v1,0.0,v3,0.8,1.0,0
3.21,3516.0,0.14,1.0,v1,v2,6797.0,v1,1.0,v2,1.56,1.0,1
1.41,3469.0,0.13,1.0,v2,v1,6233.0,v1,1.0,v1,1.31,1.0,1
5.45,3450.0,0.52,2.0,v2,v2,4610.0,v1,0.0,v3,1.57,1.0,0
1.49,3576.0,0.53,0.0,v1,v1,7079.0,v1,1.0,v2,1.58,1.0,1
1.47,3481.0,0.18,1.0,v2,v1,4560.0,v1,1.0,v3,1.78,0.0,1
5.64,3133.0,0.13,2.0,v1,v1,7296.0,v1,2.0,v2,1.37,1.0,0
5.5,3097.0,0.14,1.0,v1,v1,3784.0,v1,1.0,v3,1.44,1.0,1
6.62,3514.0,0.19,0.0,v2,v2,3869.0,v1,1.0,v3,1.26,1.0,1
2.15,3072.0,0.46,2.0,v1,v2,5912.0,v1,2.0,v1,1.08,0.0,0
1.94,3111.0,0.38,2.0,v1,v2,6758.0,v1,1.0,v2,1.76,2.0,1
2.12,3187.0,0.14,2.0,v2,v2,3360.0,v2,2.0,v2,1.42,1.0,0
1.53,3512.0,0.26,0.0,v2,v2,7173.0,v3,0.0,v1,0.56,0.0,0
3.11,3438.0,0.29,0.0,v1,v1,3878.0,v1,2.0,v2,1.21,0.0,0
1.6,3092.0,0.14,1.0,v1,v1,6555.0,v1,0.0,v2,1.09,0.0,1
5.5,3151.0,0.55,2.0,v2,v1,6371.0,v1,0.0,v1,1.87,2.0,0
7.25,3088.0,0.43,0.0,v1,v2,3397.0,v1,1.0,v3,0.99,2.0,1
5.81,3069.0,0.14,1.0,v2,v2,7299.0,v1,2.0,v1,1.36,1.0,0
6.77,3078.0,0.42,0.0,v1,v1,6790.0,v1,1.0,v1,1.22,1.0,1
1.5,3469.0,0.61,0.0,v1,v2,4521.0,v1,0.0,v1,1.24,1.0,1
4.17,3475.0,0.13,1.0,v2,v1,7243.0,v1,2.0,v3,1.43,0.0,0
1.77,3386.0,0.39,0.0,v1,v1,3154.0,v1,2.0,v2,1.87,1.0,0
2.24,3479.0,0.14,2.0,v2,v2,4082.0,v1,1.0,v1,0.88,1.0,0
4.15,3075.0,0.46,0.0,v2,v2,6968.0,v1,0.0,v1,0.69,0.0,0
3.88,3117.0,0.43,2.0,v2,v1,3685.0,v2,0.0,v2,0.56,0.0,0
5.36,3483.0,0.35,2.0,v1,v2,4642.0,v1,2.0,v2,0.56,2.0,0
4.23,3580.0,0.14,1.0,v2,v1,5430.0,v1,0.0,v1,1.47,1.0,0
8.09,3602.0,0.42,1.0,v1,v1,4505.0,v3,2.0,v3,1.98,2.0,0
1.48,3071.0,0.35,1.0,v1,v2,7211.0,v1,0.0,v3,1.77,2.0,1
2.01,3069.0,0.38,0.0,v2,v2,7250.0,v1,1.0,v2,1.75,0.0,1
4.81,3326.0,0.14,0.0,v1,v1,4775.0,v1,1.0,v2,1.01,0.0,1
1.51,3071.0,0.49,2.0,v1,v1,3919.0,v3,0.0,v2,0.56,1.0,0
6.95,3109.0,0.13,1.0,v1,v2,3171.0,v3,0.0,v3,1.89,2.0,1
8.04,3593.0,0.14,1.0,v1,v1,3388.0,v1,2.0,v3,0.56,1.0,0
5.6,3086.0,0.14,0.0,v1,v1,6963.0,v1,1.0,v3,0.61,1.0,0
1.57,3604.0,0.17,0.0,v2,v1,3212.0,v1,1.0,v3,1.85,1.0,1
2.07,3110.0,0.13,1.0,v1,v1,5174.0,v1,1.0,v2,0.64,1.0,0
2.04,3152.0,0.22,2.0,v1,v1,6723.0,v1,2.0,v2,1.17,0.0,0
5.29,3230.0,0.62,2.0,v2,v1,4119.0,v1,0.0,v2,1.63,1.0,0
4.55,3072.0,0.52,1.0,v2,v1,5881.0,v1,1.0,v1,1.94,1.0,1
6.58,3147.0,0.13,2.0,v1,v2,3744.0,v1,0.0,v1,0.56,1.0,1
1.56,3075.0,0.13,1.0,v1,v2,6756.0,v1,0.0,v1,1.22,1.0,0
3.69,3477.0,0.56,2.0,v1,v1,4559.0,v2,2.0,v1,1.44,0.0,0
6.55,3075.0,0.14,0.0,v2,v2,4575.0,v1,1.0,v3,1.25,2.0,0
7.89,3103.0,0.5,0.0,v2,v1,7190.0,v1,1.0,v1,1.49,1.0,1
2.22,3122.0,0.47,0.0,v1,v2,3363.0,v3,2.0,v3,1.54,1.0,1
8.07,3466.0,0.61,2.0,v1,v2,7162.0,v1,2.0,v3,0.56,1.0,1
1.64,3124.0,0.37,1.0,v1,v2,4588.0,v1,1.0,v3,1.8,1.0,0
1.67,3549.0,0.53,1.0,v1,v1,3477.0,v3,0.0,v1,0.56,0.0,1
4.56,3150.0,0.53,0.0,v1,v1,4487.0,v1,1.0,v2,1.49,2.0,0
6.87,3069.0,0.14,2.0,v1,v2,6000.0,v1,1.0,v3,1.53,1.0,0
1.8,3476.0,0.53,1.0,v1,v1,3038.0,v1,1.0,v1,0.56,1.0,1
5.53,3463.0,0.14,2.0,v1,v1,4548.0,v1,1.0,v2,1.55,1.0,0
1.45,3475.0,0.49,0.0,v1,v1,6533.0,v1,0.0,v3,0.64,1.0,0
5.59,3481.0,0.48,2.0,v2,v1,6552.0,v1,2.0,v3,1.77,1.0,0
7.33,3132.0,0.5,0.0,v1,v1,3408.0,v1,2.0,v2,2.03,1.0,0
6.95,3471.0,0.46,1.0,v2,v1,4242.0,v1,2.0,v1,1.05,1.0,1
7.28,3131.0,0.41,1.0,v1,v2,7055.0,v1,1.0,v3,1.15,1.0,0
5.66,3100.0,0.47,2.0,v1,v2,5815.0,v1,1.0,v2,1.49,2.0,0
1.66,3487.0,0.44,1.0,v1,v1,4007.0,v1,1.0,v1,1.17,2.0,1
1.63,3162.0,0.4,0.0,v2,v2,4237.0,v3,2.0,v2,0.79,0.0,0
6.0,3581.0,0.52,1.0,v1,v2,7082.0,v1,1.0,v1,1.32,1.0,0
1.62,3480.0,0.4,0.0,v2,v1,7322.0,v2,2.0,v3,2.01,1.0,0
1.88,3342.0,0.14,2.0,v2,v2,5960.0,v1,0.0,v3,1.25,1.0,0
1.42,3074.0,0.41,0.0,v2,v1,6794.0,v1,2.0,v1,0.67,0.0,1
1.53,3558.0,0.44,1.0,v2,v1,5269.0,v1,2.0,v3,1.11,1.0,0
7.88,3138.0,0.53,1.0,v1,v1,7290.0,v1,1.0,v2,1.29,2.0,0
1.67,3219.0,0.59,2.0,v1,v1,3113.0,v1,2.0,v3,0.55,1.0,0
1.61,3430.0,0.52,1.0,v1,v2,4595.0,v1,0.0,v3,0.56,0.0,1
5.0,3099.0,0.13,2.0,v2,v2,3787.0,v1,1.0,v3,1.33,1.0,1
7.24,3132.0,0.57,0.0,v2,v2,3062.0,v1,0.0,v3,1.48,1.0,1
4.84,3137.0,0.48,0.0,v1,v2,7198.0,v1,0.0,v1,0.89,0.0,0
7.19,3388.0,0.4,1.0,v1,v2,3071.0,v1,2.0,v1,1.03,1.0,0
1.46,3472.0,0.59,1.0,v1,v1,4538.0,v1,2.0,v3,0.57,1.0,1
3.1,3469.0,0.53,1.0,v2,v2,6348.0,v1,1.0,v1,1.54,1.0,0
1.69,3201.0,0.42,2.0,v1,v2,4528.0,v1,1.0,v1,1.17,1.0,0
5.89,3075.0,0.44,2.0,v1,v2,6372.0,v1,0.0,v1,1.69,0.0,1
5.52,3603.0,0.32,1.0,v1,v1,3272.0,v1,0.0,v1,1.98,1.0,1
1.6,3076.0,0.62,1.0,v1,v1,6650.0,v2,1.0,v3,1.98,2.0,0
7.89,3347.0,0.14,2.0,v2,v2,3461.0,v1,1.0,v1,1.44,1.0,1
3.18,3414.0,0.46,2.0,v2,v2,3394.0,v1,0.0,v3,0.56,1.0,0
7.05,3464.0,0.41,2.0,v2,v1,4802.0,v2,2.0,v1,1.01,1.0,0
1.43,3087.0,0.5,0.0,v2,v2,4480.0,v1,0.0,v3,0.77,1.0,1
4.04,3378.0,0.5,2.0,v1,v2,4836.0,v1,2.0,v1,0.82,0.0,0
6.41,3238.0,0.47,1.0,v1,v2,6323.0,v1,0.0,v2,0.68,1.0,1
1.45,3077.0,0.15,0.0,v2,v2,4504.0,v1,0.0,v3,0.56,1.0,1
5.49,3593.0,0.23,1.0,v1,v1,5864.0,v1,1.0,v2,1.76,1.0,0
5.69,3094.0,0.51,1.0,v2,v2,3734.0,v1,1.0,v2,1.28,1.0,0
8.06,3426.0,0.27,1.0,v2,v1,7062.0,v1,0.0,v1,1.66,1.0,0
2.05,3110.0,0.59,0.0,v1,v2,6012.0,v3,0.0,v2,1.15,1.0,0
2.11,3555.0,0.52,0.0,v1,v1,3310.0,v1,2.0,v3,1.81,1.0,1
5.57,3479.0,0.2,1.0,v1,v2,3536.0,v1,2.0,v3,0.55,1.0,1
5.67,3480.0,0.64,2.0,v1,v1,6843.0,v2,0.0,v3,0.56,0.0,0
1.9,3486.0,0.47,0.0,v1,v2,7139.0,v1,1.0,v3,1.56,1.0,0
2.19,3072.0,0.13,0.0,v2,v1,4183.0,v1,2.0,v1,1.35,1.0,0
6.58,3566.0,0.55,1.0,v2,v1,6211.0,v1,0.0,v1,0.56,2.0,1
2.38,3539.0,0.28,0.0,v2,v2,4424.0,v1,0.0,v3,0.56,0.0,1
5.43,3466.0,0.64,2.0,v1,v2,3254.0,v1,0.0,v2,1.81,2.0,0
1.6,3469.0,0.28,0.0,v1,v1,7221.0,v1,2.0,v3,0.55,1.0,1
3.2,3476.0,0.13,2.0,v2,v2,4512.0,v1,1.0,v1,1.61,0.0,0
7.97,3487.0,0.51,0.0,v2,v2,6913.0,v1,0.0,v3,1.76,0.0,0
8.21,3534.0,0.14,1.0,v2,v2,3314.0,v1,2.0,v1,1.31,1.0,0
1.85,3069.0,0.13,1.0,v2,v1,4497.0,v1,1.0,v3,1.26,1.0,1
5.22,3119.0,0.52,0.0,v1,v1,3329.0,v1,1.0,v2,1.92,0.0,0
1.7,3616.0,0.52,2.0,v2,v1,7158.0,v1,1.0,v2,1.42,1.0,0
3.49,3391.0,0.52,2.0,v1,v1,4450.0,v1,1.0,v2,1.96,0.0,0
4.35,3091.0,0.48,1.0,v1,v1,3066.0,v2,1.0,v2,1.29,0.0,0
7.26,3087.0,0.23,2.0,v1,v2,7313.0,v1,1.0,v2,1.77,2.0,0
4.44,3355.0,0.42,0.0,v1,v2,4635.0,v1,1.0,v3,1.25,0.0,0
3.63,3074.0,0.17,1.0,v1,v1,7296.0,v1,1.0,v3,2.07,2.0,1
5.43,3532.0,0.41,1.0,v1,v2,6604.0,v1,2.0,v3,1.82,1.0,0
1.58,3564.0,0.45,1.0,v1,v1,3572.0,v3,1.0,v3,1.12,0.0,0
1.47,3152.0,0.51,1.0,v1,v2,6313.0,v1,1.0,v2,1.61,0.0,1
2.2,3599.0,0.18,2.0,v2,v1,7361.0,v1,2.0,v3,1.23,1.0,0
1.61,3486.0,0.46,1.0,v2,v1,4153.0,v1,1.0,v1,0.58,1.0,0
6.99,3473.0,0.38,2.0,v2,v2,4045.0,v1,2.0,v1,1.17,2.0,0
6.63,3085.0,0.39,0.0,v2,v2,3320.0,v1,2.0,v3,1.62,0.0,1
7.29,3069.0,0.13,2.0,v1,v2,3941.0,v1,1.0,v3,1.3,1.0,1
1.51,3146.0,0.52,0.0,v2,v2,7245.0,v1,1.0,v1,1.67,0.0,0
2.15,3296.0,0.48,0.0,v1,v1,7187.0,v1,1.0,v2,1.59,0.0,1
6.47,3291.0,0.47,2.0,v2,v2,3701.0,v1,2.0,v1,0.79,1.0,0
1.62,3580.0,0.36,0.0,v1,v1,7319.0,v1,1.0,v1,1.95,0.0,1
5.58,3295.0,0.14,0.0,v1,v2,4550.0,v1,2.0,v3,1.49,1.0,1
1.63,3462.0,0.13,2.0,v1,v2,7283.0,v1,1.0,v3,1.16,0.0,0
6.66,3242.0,0.54,2.0,v1,v2,3216.0,v1,0.0,v2,1.27,2.0,0
6.68,3533.0,0.42,2.0,v1,v2,3260.0,v1,2.0,v3,1.89,1.0,1
2.5,3073.0,0.13,1.0,v2,v2,3402.0,v1,1.0,v2,1.77,0.0,0
5.56,3147.0,0.5,0.0,v2,v1,4534.0,v1,0.0,v2,0.91,1.0,1
5.54,3079.0,0.51,0.0,v1,v2,4578.0,v1,1.0,v3,1.9,0.0,0
1.96,3284.0,0.42,0.0,v1,v1,7166.0,v1,2.0,v1,1.75,1.0,0
6.22,3092.0,0.4,0.0,v2,v2,3261.0,v1,1.0,v1,2.03,1.0,0
5.2,3477.0,0.14,0.0,v2,v2,3230.0,v1,1.0,v1,0.65,0.0,0
2.65,3215.0,0.51,0.0,v1,v2,3429.0,v3,0.0,v1,1.63,0.0,1
1.92,3085.0,0.52,1.0,v1,v2,3190.0,v1,1.0,v2,1.44,1.0,0
4.29,3467.0,0.14,2.0,v2,v2,7265.0,v1,1.0,v1,0.86,2.0,0
5.73,3563.0,0.52,1.0,v1,v1,4767.0,v1,1.0,v2,1.07,1.0,0
5.47,3097.0,0.13,1.0,v2,v1,3798.0,v1,2.0,v1,1.2,1.0,1
5.43,3084.0,0.49,0.0,v1,v1,3265.0,v1,1.0,v2,0.59,0.0,0
7.48,3143.0,0.52,1.0,v1,v1,3028.0,v3,0.0,v1,1.75,0.0,0
5.64,3118.0,0.46,2.0,v2,v1,3151.0,v2,0.0,v2,1.06,1.0,0
6.42,3140.0,0.46,0.0,v1,v1,3523.0,v1,0.0,v2,0.71,1.0,0
2.03,3081.0,0.13,0.0,v1,v2,3148.0,v1,0.0,v3,1.2,1.0,1
1.78,3470.0,0.13,2.0,v1,v2,4513.0,v1,0.0,v1,1.28,1.0,0
1.49,3070.0,0.44,2.0,v2,v1,6686.0,v1,2.0,v2,1.93,0.0,1
4.6,3101.0,0.15,1.0,v2,v1,5438.0,v1,2.0,v2,1.16,0.0,1
1.76,3086.0,0.58,2.0,v1,v2,7158.0,v1,0.0,v3,2.02,1.0,1
7.96,3138.0,0.47,1.0,v2,v2,6986.0,v1,0.0,v2,1.02,1.0,0
6.76,3070.0,0.53,1.0,v1,v1,7312.0,v2,1.0,v2,1.8,2.0,0
7.05,3091.0,0.24,0.0,v2,v2,4495.0,v1,0.0,v2,0.9,1.0,0
6.72,3466.0,0.53,0.0,v1,v2,6464.0,v1,1.0,v1,1.34,2.0,0
7.41,3108.0,0.18,1.0,v2,v1,3354.0,v1,1.0,v1,2.01,0.0,0
2.06,3550.0,0.14,2.0,v1,v2,3162.0,v1,2.0,v3,1.6,1.0,1
1.64,3075.0,0.47,0.0,v1,v1,7253.0,v1,0.0,v1,0.56,0.0,0
6.5,3120.0,0.13,2.0,v1,v2,4474.0,v2,1.0,v1,0.62,2.0,1
6.03,3623.0,0.31,0.0,v1,v2,3910.0,v1,1.0,v3,1.78,2.0,1
6.46,3146.0,0.14,0.0,v1,v2,4493.0,v1,0.0,v3,1.25,1.0,1
1.5,3117.0,0.48,2.0,v1,v2,4456.0,v1,1.0,v1,1.58,0.0,0
3.84,3587.0,0.65,0.0,v2,v1,5897.0,v1,1.0,v2,0.57,2.0,0
1.5,3149.0,0.42,1.0,v2,v2,3339.0,v1,2.0,v3,1.06,0.0,1
1.57,3071.0,0.53,0.0,v1,v1,7324.0,v1,1.0,v2,1.33,0.0,1
1.63,3076.0,0.46,0.0,v2,v2,3177.0,v1,1.0,v1,1.57,0.0,0
1.7,3072.0,0.13,2.0,v2,v2,7330.0,v1,1.0,v2,1.24,2.0,0
1.62,3479.0,0.62,0.0,v1,v1,4562.0,v1,0.0,v2,1.71,2.0,0
7.26,3069.0,0.5,2.0,v2,v2,4583.0,v1,1.0,v3,0.55,2.0,1
5.43,3069.0,0.13,1.0,v1,v2,7314.0,v1,1.0,v1,1.5,1.0,0
6.09,3489.0,0.13,1.0,v1,v1,6608.0,v1,2.0,v2,1.54,1.0,1
6.47,3120.0,0.67,0.0,v1,v1,3100.0,v3,0.0,v3,1.63,1.0,0
5.98,3471.0,0.46,0.0,v1,v1,6595.0,v1,2.0,v2,0.98,1.0,1
1.46,3132.0,0.47,2.0,v2,v2,4753.0,v1,1.0,v3,1.3,2.0,0
5.81,3070.0,0.67,2.0,v1,v2,7168.0,v1,2.0,v1,0.56,1.0,0
1.55,3089.0,0.66,0.0,v1,v1,6901.0,v1,2.0,v1,0.57,1.0,0
7.57,3350.0,0.55,1.0,v2,v2,6622.0,v1,0.0,v1,1.29,1.0,0
6.54,3490.0,0.6,2.0,v1,v2,5281.0,v3,0.0,v3,0.56,0.0,0
1.64,3568.0,0.49,1.0,v1,v1,6276.0,v2,1.0,v1,1.31,0.0,0
1.46,3538.0,0.6,2.0,v1,v2,4917.0,v1,0.0,v2,1.88,1.0,0
3.64,3071.0,0.14,0.0,v1,v1,4391.0,v1,0.0,v2,0.84,1.0,0
1.53,3102.0,0.14,2.0,v2,v2,4515.0,v1,1.0,v3,0.95,2.0,0
1.55,3477.0,0.31,0.0,v2,v2,6787.0,v3,2.0,v1,0.55,1.0,0
2.01,3113.0,0.63,2.0,v2,v2,7187.0,v1,1.0,v1,1.87,0.0,0
1.65,3471.0,0.42,0.0,v1,v1,4653.0,v1,2.0,v3,0.84,1.0,0
5.53,3081.0,0.5,0.0,v1,v1,4595.0,v1,0.0,v2,0.82,1.0,1
6.54,3555.0,0.51,0.0,v1,v1,3877.0,v1,0.0,v2,0.56,0.0,0
1.71,3338.0,0.48,1.0,v2,v2,7358.0,v1,1.0,v1,1.93,1.0,0
6.61,3123.0,0.41,2.0,v1,v2,4784.0,v3,0.0,v1,0.55,1.0,0
1.44,3115.0,0.46,2.0,v2,v2,5995.0,v1,0.0,v3,1.17,0.0,0
7.58,3422.0,0.14,1.0,v1,v2,3197.0,v1,2.0,v1,1.48,1.0,0
1.55,3482.0,0.5,2.0,v1,v1,3036.0,v2,1.0,v2,1.23,0.0,1
5.47,3490.0,0.51,1.0,v2,v1,4250.0,v1,1.0,v1,1.28,1.0,1
1.5,3073.0,0.49,1.0,v2,v1,6145.0,v1,1.0,v1,1.44,1.0,0
6.79,3105.0,0.41,1.0,v1,v2,3716.0,v1,1.0,v2,0.56,0.0,0
1.88,3163.0,0.53,1.0,v1,v2,3554.0,v2,1.0,v2,0.55,1.0,0
8.02,3249.0,0.43,2.0,v1,v1,7256.0,v1,2.0,v2,0.55,1.0,1
7.12,3488.0,0.47,1.0,v2,v1,6874.0,v1,2.0,v1,1.79,2.0,1
2.23,3542.0,0.13,0.0,v2,v2,6481.0,v1,0.0,v3,1.3,1.0,0
2.12,3581.0,0.39,0.0,v1,v1,3340.0,v1,1.0,v1,1.18,1.0,1
7.35,3304.0,0.47,1.0,v2,v2,4474.0,v1,0.0,v1,0.58,1.0,0
2.23,3096.0,0.19,0.0,v1,v1,4506.0,v1,2.0,v2,0.55,2.0,1
2.03,3110.0,0.46,1.0,v1,v2,3103.0,v1,1.0,v3,0.69,0.0,1
1.57,3081.0,0.46,2.0,v1,v2,4752.0,v1,1.0,v1,1.59,0.0,0
1.57,3242.0,0.59,1.0,v1,v1,5482.0,v1,0.0,v1,1.75,1.0,1
1.56,3130.0,0.62,2.0,v2,v1,3069.0,v1,2.0,v1,0.8,1.0,1
1.75,3135.0,0.47,2.0,v1,v1,6781.0,v1,1.0,v2,1.57,1.0,1
1.42,3447.0,0.22,1.0,v1,v1,5173.0,v1,1.0,v3,1.65,1.0,0
8.23,3084.0,0.62,1.0,v1,v2,6679.0,v1,1.0,v3,0.6,1.0,0
1.49,3468.0,0.48,1.0,v1,v2,3290.0,v1,0.0,v2,0.65,2.0,0
5.53,3479.0,0.13,1.0,v1,v1,7065.0,v1,0.0,v1,0.94,1.0,1
2.2,3075.0,0.56,1.0,v1,v1,4531.0,v2,1.0,v3,0.55,1.0,1
7.63,3598.0,0.52,0.0,v1,v1,4648.0,v1,1.0,v2,1.71,1.0,0
2.02,3106.0,0.33,2.0,v1,v2,7252.0,v1,0.0,v1,0.56,1.0,1
1.45,3098.0,0.52,0.0,v1,v2,7223.0,v1,1.0,v3,1.36,0.0,0
5.5,3159.0,0.13,1.0,v2,v2,4828.0,v1,1.0,v3,1.31,1.0,0
6.73,3115.0,0.43,0.0,v2,v2,3141.0,v1,0.0,v3,0.55,2.0,0
1.83,3072.0,0.42,0.0,v1,v2,7258.0,v1,0.0,v2,1.76,1.0,1
1.61,3102.0,0.51,0.0,v1,v1,3270.0,v3,1.0,v1,0.55,1.0,1
5.5,3112.0,0.67,0.0,v2,v1,3031.0,v2,1.0,v1,0.56,2.0,1
7.09,3133.0,0.51,1.0,v1,v1,4472.0,v1,1.0,v1,1.71,1.0,1
1.53,3520.0,0.44,2.0,v1,v1,4199.0,v2,0.0,v3,0.58,1.0,1
3.44,3071.0,0.14,2.0,v1,v1,4482.0,v1,1.0,v2,1.57,0.0,0
6.84,3218.0,0.14,1.0,v1,v1,3927.0,v3,1.0,v2,1.18,1.0,0
5.01,3477.0,0.42,0.0,v2,v1,7278.0,v1,1.0,v1,0.86,1.0,1
5.64,3532.0,0.33,1.0,v1,v1,4543.0,v1,2.0,v2,1.16,1.0,0
2.04,3594.0,0.13,1.0,v2,v1,6444.0,v1,2.0,v3,1.44,2.0,0
5.77,3069.0,0.51,0.0,v1,v2,5287.0,v1,2.0,v1,1.87,2.0,0
2.37,3489.0,0.61,2.0,v1,v2,3835.0,v1,1.0,v1,1.2,0.0,0
7.77,3086.0,0.14,2.0,v2,v2,4791.0,v1,1.0,v1,0.85,0.0,0
1.81,3531.0,0.46,1.0,v1,v1,5381.0,v1,0.0,v2,0.59,2.0,0
5.69,3087.0,0.2,0.0,v1,v2,3045.0,v1,0.0,v3,1.78,1.0,0
1.53,3152.0,0.53,2.0,v1,v1,7130.0,v1,2.0,v2,0.6,0.0,0
7.95,3477.0,0.28,0.0,v1,v2,6512.0,v2,1.0,v1,2.04,1.0,0
4.33,3110.0,0.62,0.0,v1,v1,3278.0,v1,0.0,v2,1.46,0.0,0
7.09,3407.0,0.19,1.0,v2,v2,3886.0,v1,1.0,v2,2.07,2.0,0
1.91,3076.0,0.47,1.0,v2,v1,7058.0,v1,0.0,v1,1.13,2.0,1
