buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,1
vhigh,vhigh,2,2,small,med,1
vhigh,vhigh,2,2,small,high,1
vhigh,vhigh,2,2,med,low,1
vhigh,vhigh,2,2,med,med,1
vhigh,vhigh,2,2,med,high,1
vhigh,vhigh,2,2,big,low,1
vhigh,vhigh,2,2,big,med,1
vhigh,vhigh,2,2,big,high,1
vhigh,vhigh,2,4,small,low,1
vhigh,vhigh,2,4,small,med,1
vhigh,vhigh,2,4,small,high,1
vhigh,vhigh,2,4,med,low,1
vhigh,vhigh,2,4,med,med,1
vhigh,vhigh,2,4,med,high,1
vhigh,vhigh,2,4,big,low,1
vhigh,vhigh,2,4,big,med,1
vhigh,vhigh,2,4,big,high,1
vhigh,vhigh,2,more,small,low,1
vhigh,vhigh,2,more,small,med,1
vhigh,vhigh,2,more,small,high,1
vhigh,vhigh,2,more,med,low,1
vhigh,vhigh,2,more,med,med,1
vhigh,vhigh,2,more,med,high,1
vhigh,vhigh,2,more,big,low,1
vhigh,vhigh,2,more,big,med,1
vhigh,vhigh,2,more,big,high,1
vhigh,vhigh,1,2,small,low,1
vhigh,vhigh,1,2,small,med,1
vhigh,vhigh,1,2,small,high,1
vhigh,vhigh,1,2,med,low,1
vhigh,vhigh,1,2,med,med,1
vhigh,vhigh,1,2,med,high,1
vhigh,vhigh,1,2,big,low,1
vhigh,vhigh,1,2,big,med,1
vhigh,vhigh,1,2,big,high,1
vhigh,vhigh,1,4,small,low,1
vhigh,vhigh,1,4,small,med,1
vhigh,vhigh,1,4,small,high,1
vhigh,vhigh,1,4,med,low,1
vhigh,vhigh,1,4,med,med,1
vhigh,vhigh,1,4,med,high,1
vhigh,vhigh,1,4,big,low,1
vhigh,vhigh,1,4,big,med,1
vhigh,vhigh,1,4,big,high,1
vhigh,vhigh,1,more,small,low,1
vhigh,vhigh,1,more,small,med,1
vhigh,vhigh,1,more,small,high,1
vhigh,vhigh,1,more,med,low,1
vhigh,vhigh,1,more,med,med,1
vhigh,vhigh,1,more,med,high,1
vhigh,vhigh,1,more,big,low,1
vhigh,vhigh,1,more,big,med,1
vhigh,vhigh,1,more,big,high,1
vhigh,vhigh,4,2,small,low,1
vhigh,vhigh,4,2,small,med,1
vhigh,vhigh,4,2,small,high,1
vhigh,vhigh,4,2,med,low,1
vhigh,vhigh,4,2,med,med,1
vhigh,vhigh,4,2,med,high,1
vhigh,vhigh,4,2,big,low,1
vhigh,vhigh,4,2,big,med,1
vhigh,vhigh,4,2,big,high,1
vhigh,vhigh,4,4,small,low,1
vhigh,vhigh,4,4,small,med,1
vhigh,vhigh,4,4,small,high,1
vhigh,vhigh,4,4,med,low,1
vhigh,vhigh,4,4,med,med,1
vhigh,vhigh,4,4,med,high,1
vhigh,vhigh,4,4,big,low,1
vhigh,vhigh,4,4,big,med,1
vhigh,vhigh,4,4,big,high,1
vhigh,vhigh,4,more,small,low,1
vhigh,vhigh,4,more,small,med,1
vhigh,vhigh,4,more,small,high,1
vhigh,vhigh,4,more,med,low,1
vhigh,vhigh,4,more,med,med,1
vhigh,vhigh,4,more,med,high,1
vhigh,vhigh,4,more,big,low,1
vhigh,vhigh,4,more,big,med,1
vhigh,vhigh,4,more,big,high,1
vhigh,vhigh,5more,2,small,low,1
vhigh,vhigh,5more,2,small,med,1
vhigh,vhigh,5more,2,small,high,1
vhigh,vhigh,5more,2,med,low,1
vhigh,vhigh,5more,2,med,med,1
vhigh,vhigh,5more,2,med,high,1
vhigh,vhigh,5more,2,big,low,1
vhigh,vhigh,5more,2,big,med,1
vhigh,vhigh,5more,2,big,high,1
vhigh,vhigh,5more,4,small,low,1
vhigh,vhigh,5more,4,small,med,1
vhigh,vhigh,5more,4,small,high,1
vhigh,vhigh,5more,4,med,low,1
vhigh,vhigh,5more,4,med,med,1
vhigh,vhigh,5more,4,med,high,1
vhigh,vhigh,5more,4,big,low,1
vhigh,vhigh,5more,4,big,med,1
vhigh,vhigh,5more,4,big,high,1
vhigh,vhigh,5more,more,small,low,1
vhigh,vhigh,5more,more,small,med,1
vhigh,vhigh,5more,more,small,high,1
vhigh,vhigh,5more,more,med,low,1
vhigh,vhigh,5more,more,med,med,1
vhigh,vhigh,5more,more,med,high,1
vhigh,vhigh,5more,more,big,low,1
vhigh,vhigh,5more,more,big,med,1
vhigh,vhigh,5more,more,big,high,1
vhigh,high,2,2,small,low,1
vhigh,high,2,2,small,med,1
vhigh,high,2,2,small,high,1
vhigh,high,2,2,med,low,1
vhigh,high,2,2,med,med,1
vhigh,high,2,2,med,high,1
vhigh,high,2,2,big,low,1
vhigh,high,2,2,big,med,1
vhigh,high,2,2,big,high,1
vhigh,high,2,4,small,low,1
vhigh,high,2,4,small,med,1
vhigh,high,2,4,small,high,1
vhigh,high,2,4,med,low,1
vhigh,high,2,4,med,med,1
vhigh,high,2,4,med,high,1
vhigh,high,2,4,big,low,1
vhigh,high,2,4,big,med,1
vhigh,high,2,4,big,high,1
vhigh,high,2,more,small,low,1
vhigh,high,2,more,small,med,1
vhigh,high,2,more,small,high,1
vhigh,high,2,more,med,low,1
vhigh,high,2,more,med,med,1
vhigh,high,2,more,med,high,1
vhigh,high,2,more,big,low,1
vhigh,high,2,more,big,med,1
vhigh,high,2,more,big,high,1
vhigh,high,1,2,small,low,1
vhigh,high,1,2,small,med,1
vhigh,high,1,2,small,high,1
vhigh,high,1,2,med,low,1
vhigh,high,1,2,med,med,1
vhigh,high,1,2,med,high,1
vhigh,high,1,2,big,low,1
vhigh,high,1,2,big,med,1
vhigh,high,1,2,big,high,1
vhigh,high,1,4,small,low,1
vhigh,high,1,4,small,med,1
vhigh,high,1,4,small,high,1
vhigh,high,1,4,med,low,1
vhigh,high,1,4,med,med,1
vhigh,high,1,4,med,high,1
vhigh,high,1,4,big,low,1
vhigh,high,1,4,big,med,1
vhigh,high,1,4,big,high,1
vhigh,high,1,more,small,low,1
vhigh,high,1,more,small,med,1
vhigh,high,1,more,small,high,1
vhigh,high,1,more,med,low,1
vhigh,high,1,more,med,med,1
vhigh,high,1,more,med,high,1
vhigh,high,1,more,big,low,1
vhigh,high,1,more,big,med,1
vhigh,high,1,more,big,high,1
vhigh,high,4,2,small,low,1
vhigh,high,4,2,small,med,1
vhigh,high,4,2,small,high,1
vhigh,high,4,2,med,low,1
vhigh,high,4,2,med,med,1
vhigh,high,4,2,med,high,1
vhigh,high,4,2,big,low,1
vhigh,high,4,2,big,med,1
vhigh,high,4,2,big,high,1
vhigh,high,4,4,small,low,1
vhigh,high,4,4,small,med,1
vhigh,high,4,4,small,high,1
vhigh,high,4,4,med,low,1
vhigh,high,4,4,med,med,1
vhigh,high,4,4,med,high,1
vhigh,high,4,4,big,low,1
vhigh,high,4,4,big,med,1
vhigh,high,4,4,big,high,1
vhigh,high,4,more,small,low,1
vhigh,high,4,more,small,med,1
vhigh,high,4,more,small,high,1
vhigh,high,4,more,med,low,1
vhigh,high,4,more,med,med,1
vhigh,high,4,more,med,high,1
vhigh,high,4,more,big,low,1
vhigh,high,4,more,big,med,1
vhigh,high,4,more,big,high,1
vhigh,high,5more,2,small,low,1
vhigh,high,5more,2,small,med,1
vhigh,high,5more,2,small,high,1
vhigh,high,5more,2,med,low,1
vhigh,high,5more,2,med,med,1
vhigh,high,5more,2,med,high,1
vhigh,high,5more,2,big,low,1
vhigh,high,5more,2,big,med,1
vhigh,high,5more,2,big,high,1
vhigh,high,5more,4,small,low,1
vhigh,high,5more,4,small,med,1
vhigh,high,5more,4,small,high,1
vhigh,high,5more,4,med,low,1
vhigh,high,5more,4,med,med,1
vhigh,high,5more,4,med,high,1
vhigh,high,5more,4,big,low,1
vhigh,high,5more,4,big,med,1
vhigh,high,5more,4,big,high,1
vhigh,high,5more,more,small,low,1
vhigh,high,5more,more,small,med,1
vhigh,high,5more,more,small,high,1
vhigh,high,5more,more,med,low,1
vhigh,high,5more,more,med,med,1
vhigh,high,5more,more,med,high,1
vhigh,high,5more,more,big,low,1
vhigh,high,5more,more,big,med,1
vhigh,high,5more,more,big,high,1
vhigh,med,2,2,small,low,1
vhigh,med,2,2,small,med,1
vhigh,med,2,2,small,high,1
vhigh,med,2,2,med,low,1
vhigh,med,2,2,med,med,1
vhigh,med,2,2,med,high,1
vhigh,med,2,2,big,low,1
vhigh,med,2,2,big,med,1
vhigh,med,2,2,big,high,1
vhigh,med,2,4,small,low,1
vhigh,med,2,4,small,med,1
vhigh,med,2,4,small,high,0
vhigh,med,2,4,med,low,1
vhigh,med,2,4,med,med,1
vhigh,med,2,4,med,high,0
vhigh,med,2,4,big,low,1
vhigh,med,2,4,big,med,0
vhigh,med,2,4,big,high,0
vhigh,med,2,more,small,low,1
vhigh,med,2,more,small,med,1
vhigh,med,2,more,small,high,1
vhigh,med,2,more,med,low,1
vhigh,med,2,more,med,med,1
vhigh,med,2,more,med,high,0
vhigh,med,2,more,big,low,1
vhigh,med,2,more,big,med,0
vhigh,med,2,more,big,high,0
vhigh,med,1,2,small,low,1
vhigh,med,1,2,small,med,1
vhigh,med,1,2,small,high,1
vhigh,med,1,2,med,low,1
vhigh,med,1,2,med,med,1
vhigh,med,1,2,med,high,1
vhigh,med,1,2,big,low,1
vhigh,med,1,2,big,med,1
vhigh,med,1,2,big,high,1
vhigh,med,1,4,small,low,1
vhigh,med,1,4,small,med,1
vhigh,med,1,4,small,high,0
vhigh,med,1,4,med,low,1
vhigh,med,1,4,med,med,1
vhigh,med,1,4,med,high,0
vhigh,med,1,4,big,low,1
vhigh,med,1,4,big,med,0
vhigh,med,1,4,big,high,0
vhigh,med,1,more,small,low,1
vhigh,med,1,more,small,med,1
vhigh,med,1,more,small,high,0
vhigh,med,1,more,med,low,1
vhigh,med,1,more,med,med,0
vhigh,med,1,more,med,high,0
vhigh,med,1,more,big,low,1
vhigh,med,1,more,big,med,0
vhigh,med,1,more,big,high,0
vhigh,med,4,2,small,low,1
vhigh,med,4,2,small,med,1
vhigh,med,4,2,small,high,1
vhigh,med,4,2,med,low,1
vhigh,med,4,2,med,med,1
vhigh,med,4,2,med,high,1
vhigh,med,4,2,big,low,1
vhigh,med,4,2,big,med,1
vhigh,med,4,2,big,high,1
vhigh,med,4,4,small,low,1
vhigh,med,4,4,small,med,1
vhigh,med,4,4,small,high,0
vhigh,med,4,4,med,low,1
vhigh,med,4,4,med,med,0
vhigh,med,4,4,med,high,0
vhigh,med,4,4,big,low,1
vhigh,med,4,4,big,med,0
vhigh,med,4,4,big,high,0
vhigh,med,4,more,small,low,1
vhigh,med,4,more,small,med,1
vhigh,med,4,more,small,high,0
vhigh,med,4,more,med,low,1
vhigh,med,4,more,med,med,0
vhigh,med,4,more,med,high,0
vhigh,med,4,more,big,low,1
vhigh,med,4,more,big,med,0
vhigh,med,4,more,big,high,0
vhigh,med,5more,2,small,low,1
vhigh,med,5more,2,small,med,1
vhigh,med,5more,2,small,high,1
vhigh,med,5more,2,med,low,1
vhigh,med,5more,2,med,med,1
vhigh,med,5more,2,med,high,1
vhigh,med,5more,2,big,low,1
vhigh,med,5more,2,big,med,1
vhigh,med,5more,2,big,high,1
vhigh,med,5more,4,small,low,1
vhigh,med,5more,4,small,med,1
vhigh,med,5more,4,small,high,0
vhigh,med,5more,4,med,low,1
vhigh,med,5more,4,med,med,0
vhigh,med,5more,4,med,high,0
vhigh,med,5more,4,big,low,1
vhigh,med,5more,4,big,med,0
vhigh,med,5more,4,big,high,0
vhigh,med,5more,more,small,low,1
vhigh,med,5more,more,small,med,1
vhigh,med,5more,more,small,high,0
vhigh,med,5more,more,med,low,1
vhigh,med,5more,more,med,med,0
vhigh,med,5more,more,med,high,0
vhigh,med,5more,more,big,low,1
vhigh,med,5more,more,big,med,0
vhigh,med,5more,more,big,high,0
vhigh,low,2,2,small,low,1
vhigh,low,2,2,small,med,1
vhigh,low,2,2,small,high,1
vhigh,low,2,2,med,low,1
vhigh,low,2,2,med,med,1
vhigh,low,2,2,med,high,1
vhigh,low,2,2,big,low,1
vhigh,low,2,2,big,med,1
vhigh,low,2,2,big,high,1
vhigh,low,2,4,small,low,1
vhigh,low,2,4,small,med,1
vhigh,low,2,4,small,high,0
vhigh,low,2,4,med,low,1
vhigh,low,2,4,med,med,1
vhigh,low,2,4,med,high,0
vhigh,low,2,4,big,low,1
vhigh,low,2,4,big,med,0
vhigh,low,2,4,big,high,0
vhigh,low,2,more,small,low,1
vhigh,low,2,more,small,med,1
vhigh,low,2,more,small,high,1
vhigh,low,2,more,med,low,1
vhigh,low,2,more,med,med,1
vhigh,low,2,more,med,high,0
vhigh,low,2,more,big,low,1
vhigh,low,2,more,big,med,0
vhigh,low,2,more,big,high,0
vhigh,low,1,2,small,low,1
vhigh,low,1,2,small,med,1
vhigh,low,1,2,small,high,1
vhigh,low,1,2,med,low,1
vhigh,low,1,2,med,med,1
vhigh,low,1,2,med,high,1
vhigh,low,1,2,big,low,1
vhigh,low,1,2,big,med,1
vhigh,low,1,2,big,high,1
vhigh,low,1,4,small,low,1
vhigh,low,1,4,small,med,1
vhigh,low,1,4,small,high,0
vhigh,low,1,4,med,low,1
vhigh,low,1,4,med,med,1
vhigh,low,1,4,med,high,0
vhigh,low,1,4,big,low,1
vhigh,low,1,4,big,med,0
vhigh,low,1,4,big,high,0
vhigh,low,1,more,small,low,1
vhigh,low,1,more,small,med,1
vhigh,low,1,more,small,high,0
vhigh,low,1,more,med,low,1
vhigh,low,1,more,med,med,0
vhigh,low,1,more,med,high,0
vhigh,low,1,more,big,low,1
vhigh,low,1,more,big,med,0
vhigh,low,1,more,big,high,0
vhigh,low,4,2,small,low,1
vhigh,low,4,2,small,med,1
vhigh,low,4,2,small,high,1
vhigh,low,4,2,med,low,1
vhigh,low,4,2,med,med,1
vhigh,low,4,2,med,high,1
vhigh,low,4,2,big,low,1
vhigh,low,4,2,big,med,1
vhigh,low,4,2,big,high,1
vhigh,low,4,4,small,low,1
vhigh,low,4,4,small,med,1
vhigh,low,4,4,small,high,0
vhigh,low,4,4,med,low,1
vhigh,low,4,4,med,med,0
vhigh,low,4,4,med,high,0
vhigh,low,4,4,big,low,1
vhigh,low,4,4,big,med,0
vhigh,low,4,4,big,high,0
vhigh,low,4,more,small,low,1
vhigh,low,4,more,small,med,1
vhigh,low,4,more,small,high,0
vhigh,low,4,more,med,low,1
vhigh,low,4,more,med,med,0
vhigh,low,4,more,med,high,0
vhigh,low,4,more,big,low,1
vhigh,low,4,more,big,med,0
vhigh,low,4,more,big,high,0
vhigh,low,5more,2,small,low,1
vhigh,low,5more,2,small,med,1
vhigh,low,5more,2,small,high,1
vhigh,low,5more,2,med,low,1
vhigh,low,5more,2,med,med,1
vhigh,low,5more,2,med,high,1
vhigh,low,5more,2,big,low,1
vhigh,low,5more,2,big,med,1
vhigh,low,5more,2,big,high,1
vhigh,low,5more,4,small,low,1
vhigh,low,5more,4,small,med,1
vhigh,low,5more,4,small,high,0
vhigh,low,5more,4,med,low,1
vhigh,low,5more,4,med,med,0
vhigh,low,5more,4,med,high,0
vhigh,low,5more,4,big,low,1
vhigh,low,5more,4,big,med,0
vhigh,low,5more,4,big,high,0
vhigh,low,5more,more,small,low,1
vhigh,low,5more,more,small,med,1
vhigh,low,5more,more,small,high,0
vhigh,low,5more,more,med,low,1
vhigh,low,5more,more,med,med,0
vhigh,low,5more,more,med,high,0
vhigh,low,5more,more,big,low,1
vhigh,low,5more,more,big,med,0
vhigh,low,5more,more,big,high,0
high,vhigh,2,2,small,low,1
high,vhigh,2,2,small,med,1
high,vhigh,2,2,small,high,1
high,vhigh,2,2,med,low,1
high,vhigh,2,2,med,med,1
high,vhigh,2,2,med,high,1
high,vhigh,2,2,big,low,1
high,vhigh,2,2,big,med,1
high,vhigh,2,2,big,high,1
high,vhigh,2,4,small,low,1
high,vhigh,2,4,small,med,1
high,vhigh,2,4,small,high,1
high,vhigh,2,4,med,low,1
high,vhigh,2,4,med,med,1
high,vhigh,2,4,med,high,1
high,vhigh,2,4,big,low,1
high,vhigh,2,4,big,med,1
high,vhigh,2,4,big,high,1
high,vhigh,2,more,small,low,1
high,vhigh,2,more,small,med,1
high,vhigh,2,more,small,high,1
high,vhigh,2,more,med,low,1
high,vhigh,2,more,med,med,1
high,vhigh,2,more,med,high,1
high,vhigh,2,more,big,low,1
high,vhigh,2,more,big,med,1
high,vhigh,2,more,big,high,1
high,vhigh,1,2,small,low,1
high,vhigh,1,2,small,med,1
high,vhigh,1,2,small,high,1
high,vhigh,1,2,med,low,1
high,vhigh,1,2,med,med,1
high,vhigh,1,2,med,high,1
high,vhigh,1,2,big,low,1
high,vhigh,1,2,big,med,1
high,vhigh,1,2,big,high,1
high,vhigh,1,4,small,low,1
high,vhigh,1,4,small,med,1
high,vhigh,1,4,small,high,1
high,vhigh,1,4,med,low,1
high,vhigh,1,4,med,med,1
high,vhigh,1,4,med,high,1
high,vhigh,1,4,big,low,1
high,vhigh,1,4,big,med,1
high,vhigh,1,4,big,high,1
high,vhigh,1,more,small,low,1
high,vhigh,1,more,small,med,1
high,vhigh,1,more,small,high,1
high,vhigh,1,more,med,low,1
high,vhigh,1,more,med,med,1
high,vhigh,1,more,med,high,1
high,vhigh,1,more,big,low,1
high,vhigh,1,more,big,med,1
high,vhigh,1,more,big,high,1
high,vhigh,4,2,small,low,1
high,vhigh,4,2,small,med,1
high,vhigh,4,2,small,high,1
high,vhigh,4,2,med,low,1
high,vhigh,4,2,med,med,1
high,vhigh,4,2,med,high,1
high,vhigh,4,2,big,low,1
high,vhigh,4,2,big,med,1
high,vhigh,4,2,big,high,1
high,vhigh,4,4,small,low,1
high,vhigh,4,4,small,med,1
high,vhigh,4,4,small,high,1
high,vhigh,4,4,med,low,1
high,vhigh,4,4,med,med,1
high,vhigh,4,4,med,high,1
high,vhigh,4,4,big,low,1
high,vhigh,4,4,big,med,1
high,vhigh,4,4,big,high,1
high,vhigh,4,more,small,low,1
high,vhigh,4,more,small,med,1
high,vhigh,4,more,small,high,1
high,vhigh,4,more,med,low,1
high,vhigh,4,more,med,med,1
high,vhigh,4,more,med,high,1
high,vhigh,4,more,big,low,1
high,vhigh,4,more,big,med,1
high,vhigh,4,more,big,high,1
high,vhigh,5more,2,small,low,1
high,vhigh,5more,2,small,med,1
high,vhigh,5more,2,small,high,1
high,vhigh,5more,2,med,low,1
high,vhigh,5more,2,med,med,1
high,vhigh,5more,2,med,high,1
high,vhigh,5more,2,big,low,1
high,vhigh,5more,2,big,med,1
high,vhigh,5more,2,big,high,1
high,vhigh,5more,4,small,low,1
high,vhigh,5more,4,small,med,1
high,vhigh,5more,4,small,high,1
high,vhigh,5more,4,med,low,1
high,vhigh,5more,4,med,med,1
high,vhigh,5more,4,med,high,1
high,vhigh,5more,4,big,low,1
high,vhigh,5more,4,big,med,1
high,vhigh,5more,4,big,high,1
high,vhigh,5more,more,small,low,1
high,vhigh,5more,more,small,med,1
high,vhigh,5more,more,small,high,1
high,vhigh,5more,more,med,low,1
high,vhigh,5more,more,med,med,1
high,vhigh,5more,more,med,high,1
high,vhigh,5more,more,big,low,1
high,vhigh,5more,more,big,med,1
high,vhigh,5more,more,big,high,1
high,high,2,2,small,low,1
high,high,2,2,small,med,1
high,high,2,2,small,high,1
high,high,2,2,med,low,1
high,high,2,2,med,med,1
high,high,2,2,med,high,1
high,high,2,2,big,low,1
high,high,2,2,big,med,1
