Age,Time_of_survey,Schooling,Region,Count,class
19-29,1991,Basic_incomplete,West_Germany,1.0,0
19-29,1991,Basic,West_Germany,5.0,0
19-29,1991,Medium,West_Germany,10.0,0
19-29,1991,Upper_medium,West_Germany,3.0,0
19-29,1991,Intensive,West_Germany,8.0,0
19-29,1991,Basic_incomplete,East_Germany,0.0,0
19-29,1991,Basic,East_Germany,0.0,0
19-29,1991,Medium,East_Germany,2.0,0
19-29,1991,Upper_medium,East_Germany,0.0,0
19-29,1991,Intensive,East_Germany,2.0,0
19-29,1991,Basic_incomplete,West_Germany,3.0,1
19-29,1991,Basic,West_Germany,63.0,1
19-29,1991,Medium,West_Germany,88.0,1
19-29,1991,Upper_medium,West_Germany,22.0,1
19-29,1991,Intensive,West_Germany,78.0,1
19-29,1991,Basic_incomplete,East_Germany,2.0,1
19-29,1991,Basic,East_Germany,13.0,1
19-29,1991,Medium,East_Germany,103.0,1
19-29,1991,Upper_medium,East_Germany,6.0,1
19-29,1991,Intensive,East_Germany,29.0,1
19-29,1991,Basic_incomplete,West_Germany,1.0,0
19-29,1991,Basic,West_Germany,25.0,0
19-29,1991,Medium,West_Germany,18.0,0
19-29,1991,Upper_medium,West_Germany,5.0,0
19-29,1991,Intensive,West_Germany,9.0,0
19-29,1991,Basic_incomplete,East_Germany,1.0,0
19-29,1991,Basic,East_Germany,5.0,0
19-29,1991,Medium,East_Germany,53.0,0
19-29,1991,Upper_medium,East_Germany,1.0,0
19-29,1991,Intensive,East_Germany,12.0,0
19-29,1991,Basic_incomplete,West_Germany,2.0,0
19-29,1991,Basic,West_Germany,2.0,0
19-29,1991,Medium,West_Germany,0.0,0
19-29,1991,Upper_medium,West_Germany,0.0,0
19-29,1991,Intensive,West_Germany,1.0,0
19-29,1991,Basic_incomplete,East_Germany,0.0,0
19-29,1991,Basic,East_Germany,0.0,0
19-29,1991,Medium,East_Germany,4.0,0
19-29,1991,Upper_medium,East_Germany,0.0,0
19-29,1991,Intensive,East_Germany,3.0,0
30-44,1991,Basic_incomplete,West_Germany,0.0,0
30-44,1991,Basic,West_Germany,24.0,0
30-44,1991,Medium,West_Germany,17.0,0
30-44,1991,Upper_medium,West_Germany,3.0,0
30-44,1991,Intensive,West_Germany,11.0,0
30-44,1991,Basic_incomplete,East_Germany,0.0,0
30-44,1991,Basic,East_Germany,3.0,0
30-44,1991,Medium,East_Germany,7.0,0
30-44,1991,Upper_medium,East_Germany,0.0,0
30-44,1991,Intensive,East_Germany,1.0,0
30-44,1991,Basic_incomplete,West_Germany,1.0,1
30-44,1991,Basic,West_Germany,135.0,1
30-44,1991,Medium,West_Germany,89.0,1
30-44,1991,Upper_medium,West_Germany,26.0,1
30-44,1991,Intensive,West_Germany,68.0,1
30-44,1991,Basic_incomplete,East_Germany,3.0,1
30-44,1991,Basic,East_Germany,39.0,1
30-44,1991,Medium,East_Germany,198.0,1
30-44,1991,Upper_medium,East_Germany,7.0,1
30-44,1991,Intensive,East_Germany,52.0,1
30-44,1991,Basic_incomplete,West_Germany,1.0,0
30-44,1991,Basic,West_Germany,34.0,0
30-44,1991,Medium,West_Germany,14.0,0
30-44,1991,Upper_medium,West_Germany,1.0,0
30-44,1991,Intensive,West_Germany,10.0,0
30-44,1991,Basic_incomplete,East_Germany,4.0,0
30-44,1991,Basic,East_Germany,27.0,0
30-44,1991,Medium,East_Germany,86.0,0
30-44,1991,Upper_medium,East_Germany,7.0,0
30-44,1991,Intensive,East_Germany,17.0,0
30-44,1991,Basic_incomplete,West_Germany,0.0,0
30-44,1991,Basic,West_Germany,2.0,0
30-44,1991,Medium,West_Germany,1.0,0
30-44,1991,Upper_medium,West_Germany,0.0,0
30-44,1991,Intensive,West_Germany,1.0,0
30-44,1991,Basic_incomplete,East_Germany,1.0,0
30-44,1991,Basic,East_Germany,7.0,0
30-44,1991,Medium,East_Germany,9.0,0
30-44,1991,Upper_medium,East_Germany,0.0,0
30-44,1991,Intensive,East_Germany,1.0,0
45-59,1991,Basic_incomplete,West_Germany,0.0,0
45-59,1991,Basic,West_Germany,26.0,0
45-59,1991,Medium,West_Germany,4.0,0
45-59,1991,Upper_medium,West_Germany,2.0,0
45-59,1991,Intensive,West_Germany,5.0,0
45-59,1991,Basic_incomplete,East_Germany,0.0,0
45-59,1991,Basic,East_Germany,4.0,0
45-59,1991,Medium,East_Germany,0.0,0
45-59,1991,Upper_medium,East_Germany,0.0,0
45-59,1991,Intensive,East_Germany,2.0,0
45-59,1991,Basic_incomplete,West_Germany,2.0,1
45-59,1991,Basic,West_Germany,120.0,1
45-59,1991,Medium,West_Germany,62.0,1
45-59,1991,Upper_medium,West_Germany,17.0,1
45-59,1991,Intensive,West_Germany,29.0,1
45-59,1991,Basic_incomplete,East_Germany,14.0,1
45-59,1991,Basic,East_Germany,134.0,1
45-59,1991,Medium,East_Germany,50.0,1
45-59,1991,Upper_medium,East_Germany,5.0,1
45-59,1991,Intensive,East_Germany,32.0,1
45-59,1991,Basic_incomplete,West_Germany,1.0,0
45-59,1991,Basic,West_Germany,27.0,0
45-59,1991,Medium,West_Germany,10.0,0
45-59,1991,Upper_medium,West_Germany,2.0,0
45-59,1991,Intensive,West_Germany,3.0,0
45-59,1991,Basic_incomplete,East_Germany,13.0,0
45-59,1991,Basic,East_Germany,61.0,0
45-59,1991,Medium,East_Germany,18.0,0
45-59,1991,Upper_medium,East_Germany,3.0,0
45-59,1991,Intensive,East_Germany,18.0,0
45-59,1991,Basic_incomplete,West_Germany,0.0,0
45-59,1991,Basic,West_Germany,6.0,0
45-59,1991,Medium,West_Germany,2.0,0
45-59,1991,Upper_medium,West_Germany,0.0,0
45-59,1991,Intensive,West_Germany,0.0,0
45-59,1991,Basic_incomplete,East_Germany,1.0,0
45-59,1991,Basic,East_Germany,7.0,0
45-59,1991,Medium,East_Germany,3.0,0
45-59,1991,Upper_medium,East_Germany,0.0,0
45-59,1991,Intensive,East_Germany,2.0,0
60-74,1991,Basic_incomplete,West_Germany,2.0,0
60-74,1991,Basic,West_Germany,41.0,0
60-74,1991,Medium,West_Germany,12.0,0
60-74,1991,Upper_medium,West_Germany,1.0,0
60-74,1991,Intensive,West_Germany,7.0,0
60-74,1991,Basic_incomplete,East_Germany,0.0,0
60-74,1991,Basic,East_Germany,4.0,0
60-74,1991,Medium,East_Germany,1.0,0
60-74,1991,Upper_medium,East_Germany,0.0,0
60-74,1991,Intensive,East_Germany,0.0,0
60-74,1991,Basic_incomplete,West_Germany,6.0,1
60-74,1991,Basic,West_Germany,107.0,1
60-74,1991,Medium,West_Germany,32.0,1
60-74,1991,Upper_medium,West_Germany,4.0,1
60-74,1991,Intensive,West_Germany,26.0,1
60-74,1991,Basic_incomplete,East_Germany,7.0,1
60-74,1991,Basic,East_Germany,81.0,1
60-74,1991,Medium,East_Germany,15.0,1
60-74,1991,Upper_medium,East_Germany,1.0,1
60-74,1991,Intensive,East_Germany,12.0,1
60-74,1991,Basic_incomplete,West_Germany,1.0,0
60-74,1991,Basic,West_Germany,18.0,0
60-74,1991,Medium,West_Germany,3.0,0
60-74,1991,Upper_medium,West_Germany,0.0,0
60-74,1991,Intensive,West_Germany,2.0,0
60-74,1991,Basic_incomplete,East_Germany,6.0,0
60-74,1991,Basic,East_Germany,56.0,0
60-74,1991,Medium,East_Germany,8.0,0
60-74,1991,Upper_medium,East_Germany,1.0,0
60-74,1991,Intensive,East_Germany,7.0,0
60-74,1991,Basic_incomplete,West_Germany,1.0,0
60-74,1991,Basic,West_Germany,3.0,0
60-74,1991,Medium,West_Germany,0.0,0
60-74,1991,Upper_medium,West_Germany,0.0,0
60-74,1991,Intensive,West_Germany,0.0,0
60-74,1991,Basic_incomplete,East_Germany,1.0,0
60-74,1991,Basic,East_Germany,5.0,0
60-74,1991,Medium,East_Germany,0.0,0
60-74,1991,Upper_medium,East_Germany,0.0,0
60-74,1991,Intensive,East_Germany,0.0,0
75+,1991,Basic_incomplete,West_Germany,1.0,0
75+,1991,Basic,West_Germany,8.0,0
75+,1991,Medium,West_Germany,3.0,0
75+,1991,Upper_medium,West_Germany,1.0,0
75+,1991,Intensive,West_Germany,2.0,0
75+,1991,Basic_incomplete,East_Germany,0.0,0
75+,1991,Basic,East_Germany,3.0,0
75+,1991,Medium,East_Germany,0.0,0
75+,1991,Upper_medium,East_Germany,0.0,0
75+,1991,Intensive,East_Germany,0.0,0
75+,1991,Basic_incomplete,West_Germany,1.0,1
75+,1991,Basic,West_Germany,28.0,1
75+,1991,Medium,West_Germany,8.0,1
75+,1991,Upper_medium,West_Germany,3.0,1
75+,1991,Intensive,West_Germany,6.0,1
75+,1991,Basic_incomplete,East_Germany,5.0,1
75+,1991,Basic,East_Germany,16.0,1
75+,1991,Medium,East_Germany,1.0,1
75+,1991,Upper_medium,East_Germany,1.0,1
75+,1991,Intensive,East_Germany,3.0,1
75+,1991,Basic_incomplete,West_Germany,0.0,0
75+,1991,Basic,West_Germany,9.0,0
75+,1991,Medium,West_Germany,2.0,0
75+,1991,Upper_medium,West_Germany,0.0,0
75+,1991,Intensive,West_Germany,0.0,0
75+,1991,Basic_incomplete,East_Germany,0.0,0
75+,1991,Basic,East_Germany,10.0,0
75+,1991,Medium,East_Germany,1.0,0
75+,1991,Upper_medium,East_Germany,0.0,0
75+,1991,Intensive,East_Germany,1.0,0
75+,1991,Basic_incomplete,West_Germany,1.0,0
75+,1991,Basic,West_Germany,0.0,0
75+,1991,Medium,West_Germany,0.0,0
75+,1991,Upper_medium,West_Germany,0.0,0
75+,1991,Intensive,West_Germany,0.0,0
75+,1991,Basic_incomplete,East_Germany,0.0,0
75+,1991,Basic,East_Germany,1.0,0
75+,1991,Medium,East_Germany,0.0,0
75+,1991,Upper_medium,East_Germany,0.0,0
75+,1991,Intensive,East_Germany,0.0,0
19-29,1992,Basic_incomplete,West_Germany,0.0,0
19-29,1992,Basic,West_Germany,6.0,0
19-29,1992,Medium,West_Germany,4.0,0
19-29,1992,Upper_medium,West_Germany,0.0,0
19-29,1992,Intensive,West_Germany,7.0,0
19-29,1992,Basic_incomplete,East_Germany,0.0,0
19-29,1992,Basic,East_Germany,0.0,0
19-29,1992,Medium,East_Germany,0.0,0
19-29,1992,Upper_medium,East_Germany,0.0,0
19-29,1992,Intensive,East_Germany,0.0,0
19-29,1992,Basic_incomplete,West_Germany,2.0,1
19-29,1992,Basic,West_Germany,68.0,1
19-29,1992,Medium,West_Germany,101.0,1
19-29,1992,Upper_medium,West_Germany,17.0,1
19-29,1992,Intensive,West_Germany,100.0,1
19-29,1992,Basic_incomplete,East_Germany,1.0,1
19-29,1992,Basic,East_Germany,8.0,1
19-29,1992,Medium,East_Germany,58.0,1
19-29,1992,Upper_medium,East_Germany,1.0,1
19-29,1992,Intensive,East_Germany,13.0,1
19-29,1992,Basic_incomplete,West_Germany,3.0,0
19-29,1992,Basic,West_Germany,40.0,0
19-29,1992,Medium,West_Germany,48.0,0
19-29,1992,Upper_medium,West_Germany,3.0,0
19-29,1992,Intensive,West_Germany,29.0,0
19-29,1992,Basic_incomplete,East_Germany,1.0,0
19-29,1992,Basic,East_Germany,8.0,0
19-29,1992,Medium,East_Germany,68.0,0
19-29,1992,Upper_medium,East_Germany,2.0,0
19-29,1992,Intensive,East_Germany,16.0,0
19-29,1992,Basic_incomplete,West_Germany,0.0,0
19-29,1992,Basic,West_Germany,6.0,0
19-29,1992,Medium,West_Germany,8.0,0
19-29,1992,Upper_medium,West_Germany,2.0,0
19-29,1992,Intensive,West_Germany,1.0,0
19-29,1992,Basic_incomplete,East_Germany,0.0,0
19-29,1992,Basic,East_Germany,1.0,0
19-29,1992,Medium,East_Germany,13.0,0
19-29,1992,Upper_medium,East_Germany,0.0,0
19-29,1992,Intensive,East_Germany,1.0,0
30-44,1992,Basic_incomplete,West_Germany,0.0,0
30-44,1992,Basic,West_Germany,10.0,0
30-44,1992,Medium,West_Germany,7.0,0
30-44,1992,Upper_medium,West_Germany,4.0,0
30-44,1992,Intensive,West_Germany,8.0,0
30-44,1992,Basic_incomplete,East_Germany,0.0,0
30-44,1992,Basic,East_Germany,0.0,0
30-44,1992,Medium,East_Germany,0.0,0
30-44,1992,Upper_medium,East_Germany,0.0,0
30-44,1992,Intensive,East_Germany,1.0,0
30-44,1992,Basic_incomplete,West_Germany,4.0,1
30-44,1992,Basic,West_Germany,186.0,1
30-44,1992,Medium,West_Germany,100.0,1
30-44,1992,Upper_medium,West_Germany,47.0,1
30-44,1992,Intensive,West_Germany,99.0,1
30-44,1992,Basic_incomplete,East_Germany,0.0,1
30-44,1992,Basic,East_Germany,28.0,1
30-44,1992,Medium,East_Germany,104.0,1
30-44,1992,Upper_medium,East_Germany,5.0,1
30-44,1992,Intensive,East_Germany,26.0,1
30-44,1992,Basic_incomplete,West_Germany,6.0,0
30-44,1992,Basic,West_Germany,102.0,0
30-44,1992,Medium,West_Germany,67.0,0
30-44,1992,Upper_medium,West_Germany,10.0,0
30-44,1992,Intensive,West_Germany,25.0,0
30-44,1992,Basic_incomplete,East_Germany,1.0,0
30-44,1992,Basic,East_Germany,22.0,0
30-44,1992,Medium,East_Germany,86.0,0
30-44,1992,Upper_medium,East_Germany,3.0,0
30-44,1992,Intensive,East_Germany,38.0,0
30-44,1992,Basic_incomplete,West_Germany,1.0,0
30-44,1992,Basic,West_Germany,14.0,0
30-44,1992,Medium,West_Germany,5.0,0
30-44,1992,Upper_medium,West_Germany,0.0,0
30-44,1992,Intensive,West_Germany,3.0,0
30-44,1992,Basic_incomplete,East_Germany,1.0,0
30-44,1992,Basic,East_Germany,2.0,0
30-44,1992,Medium,East_Germany,13.0,0
30-44,1992,Upper_medium,East_Germany,3.0,0
30-44,1992,Intensive,East_Germany,3.0,0
45-59,1992,Basic_incomplete,West_Germany,1.0,0
45-59,1992,Basic,West_Germany,19.0,0
45-59,1992,Medium,West_Germany,11.0,0
45-59,1992,Upper_medium,West_Germany,2.0,0
45-59,1992,Intensive,West_Germany,9.0,0
45-59,1992,Basic_incomplete,East_Germany,1.0,0
45-59,1992,Basic,East_Germany,2.0,0
45-59,1992,Medium,East_Germany,0.0,0
45-59,1992,Upper_medium,East_Germany,1.0,0
45-59,1992,Intensive,East_Germany,0.0,0
45-59,1992,Basic_incomplete,West_Germany,2.0,1
45-59,1992,Basic,West_Germany,182.0,1
45-59,1992,Medium,West_Germany,76.0,1
45-59,1992,Upper_medium,West_Germany,17.0,1
45-59,1992,Intensive,West_Germany,42.0,1
45-59,1992,Basic_incomplete,East_Germany,2.0,1
45-59,1992,Basic,East_Germany,89.0,1
45-59,1992,Medium,East_Germany,25.0,1
45-59,1992,Upper_medium,East_Germany,14.0,1
45-59,1992,Intensive,East_Germany,30.0,1
45-59,1992,Basic_incomplete,West_Germany,6.0,0
45-59,1992,Basic,West_Germany,102.0,0
45-59,1992,Medium,West_Germany,24.0,0
45-59,1992,Upper_medium,West_Germany,6.0,0
45-59,1992,Intensive,West_Germany,13.0,0
45-59,1992,Basic_incomplete,East_Germany,3.0,0
45-59,1992,Basic,East_Germany,74.0,0
45-59,1992,Medium,East_Germany,27.0,0
45-59,1992,Upper_medium,East_Germany,14.0,0
45-59,1992,Intensive,East_Germany,7.0,0
45-59,1992,Basic_incomplete,West_Germany,0.0,0
45-59,1992,Basic,West_Germany,11.0,0
45-59,1992,Medium,West_Germany,3.0,0
45-59,1992,Upper_medium,West_Germany,1.0,0
45-59,1992,Intensive,West_Germany,1.0,0
45-59,1992,Basic_incomplete,East_Germany,3.0,0
45-59,1992,Basic,East_Germany,13.0,0
45-59,1992,Medium,East_Germany,3.0,0
45-59,1992,Upper_medium,East_Germany,2.0,0
45-59,1992,Intensive,East_Germany,1.0,0
60-74,1992,Basic_incomplete,West_Germany,1.0,0
60-74,1992,Basic,West_Germany,11.0,0
60-74,1992,Medium,West_Germany,7.0,0
60-74,1992,Upper_medium,West_Germany,0.0,0
60-74,1992,Intensive,West_Germany,4.0,0
60-74,1992,Basic_incomplete,East_Germany,0.0,0
60-74,1992,Basic,East_Germany,0.0,0
60-74,1992,Medium,East_Germany,0.0,0
60-74,1992,Upper_medium,East_Germany,1.0,0
60-74,1992,Intensive,East_Germany,0.0,0
60-74,1992,Basic_incomplete,West_Germany,4.0,1
60-74,1992,Basic,West_Germany,177.0,1
60-74,1992,Medium,West_Germany,57.0,1
60-74,1992,Upper_medium,West_Germany,9.0,1
60-74,1992,Intensive,West_Germany,26.0,1
60-74,1992,Basic_incomplete,East_Germany,1.0,1
60-74,1992,Basic,East_Germany,62.0,1
60-74,1992,Medium,East_Germany,16.0,1
60-74,1992,Upper_medium,East_Germany,3.0,1
60-74,1992,Intensive,East_Germany,7.0,1
60-74,1992,Basic_incomplete,West_Germany,5.0,0
60-74,1992,Basic,West_Germany,82.0,0
60-74,1992,Medium,West_Germany,10.0,0
60-74,1992,Upper_medium,West_Germany,1.0,0
60-74,1992,Intensive,West_Germany,6.0,0
60-74,1992,Basic_incomplete,East_Germany,2.0,0
60-74,1992,Basic,East_Germany,46.0,0
60-74,1992,Medium,East_Germany,9.0,0
60-74,1992,Upper_medium,East_Germany,5.0,0
60-74,1992,Intensive,East_Germany,6.0,0
60-74,1992,Basic_incomplete,West_Germany,0.0,0
60-74,1992,Basic,West_Germany,21.0,0
60-74,1992,Medium,West_Germany,5.0,0
60-74,1992,Upper_medium,West_Germany,0.0,0
60-74,1992,Intensive,West_Germany,3.0,0
60-74,1992,Basic_incomplete,East_Germany,1.0,0
60-74,1992,Basic,East_Germany,5.0,0
60-74,1992,Medium,East_Germany,1.0,0
60-74,1992,Upper_medium,East_Germany,0.0,0
60-74,1992,Intensive,East_Germany,2.0,0
75+,1992,Basic_incomplete,West_Germany,0.0,0
75+,1992,Basic,West_Germany,12.0,0
75+,1992,Medium,West_Germany,2.0,0
75+,1992,Upper_medium,West_Germany,0.0,0
75+,1992,Intensive,West_Germany,1.0,0
75+,1992,Basic_incomplete,East_Germany,0.0,0
75+,1992,Basic,East_Germany,3.0,0
75+,1992,Medium,East_Germany,0.0,0
75+,1992,Upper_medium,East_Germany,0.0,0
75+,1992,Intensive,East_Germany,0.0,0
75+,1992,Basic_incomplete,West_Germany,3.0,1
75+,1992,Basic,West_Germany,51.0,1
75+,1992,Medium,West_Germany,16.0,1
75+,1992,Upper_medium,West_Germany,1.0,1
75+,1992,Intensive,West_Germany,6.0,1
75+,1992,Basic_incomplete,East_Germany,0.0,1
75+,1992,Basic,East_Germany,18.0,1
75+,1992,Medium,East_Germany,4.0,1
75+,1992,Upper_medium,East_Germany,1.0,1
75+,1992,Intensive,East_Germany,0.0,1
75+,1992,Basic_incomplete,West_Germany,1.0,0
75+,1992,Basic,West_Germany,22.0,0
75+,1992,Medium,West_Germany,6.0,0
75+,1992,Upper_medium,West_Germany,1.0,0
75+,1992,Intensive,West_Germany,4.0,0
75+,1992,Basic_incomplete,East_Germany,0.0,0
75+,1992,Basic,East_Germany,14.0,0
75+,1992,Medium,East_Germany,1.0,0
75+,1992,Upper_medium,East_Germany,1.0,0
75+,1992,Intensive,East_Germany,0.0,0
75+,1992,Basic_incomplete,West_Germany,0.0,0
75+,1992,Basic,West_Germany,7.0,0
75+,1992,Medium,West_Germany,1.0,0
75+,1992,Upper_medium,West_Germany,0.0,0
75+,1992,Intensive,West_Germany,0.0,0
75+,1992,Basic_incomplete,East_Germany,0.0,0
75+,1992,Basic,East_Germany,0.0,0
75+,1992,Medium,East_Germany,0.0,0
75+,1992,Upper_medium,East_Germany,0.0,0
75+,1992,Intensive,East_Germany,0.0,0
