col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,class
33.0,33.0,262.0,307.0,1.1718,5.5683,5.7268,0.1585,0
34.0,34.0,259.0,306.0,1.1815,5.5568,5.7236,0.1668,0
35.0,35.0,257.0,306.0,1.1907,5.5491,5.7236,0.1745,0
36.0,36.0,262.0,306.0,1.1679,5.5683,5.7236,0.1553,0
37.0,37.0,264.0,306.0,1.1591,5.5759,5.7236,0.1477,0
38.0,38.0,268.0,313.0,1.1679,5.591,5.7462,0.1552,0
39.0,39.0,276.0,319.0,1.1558,5.6204,5.7652,0.1448,0
40.0,40.0,283.0,324.0,1.1449,5.6454,5.7807,0.1353,0
41.0,41.0,290.0,332.0,1.1448,5.6699,5.8051,0.1352,0
42.0,42.0,286.0,320.0,1.1189,5.656,5.7683,0.1123,0
43.0,43.0,288.0,320.0,1.1111,5.663,5.7683,0.1053,0
44.0,44.0,286.0,314.0,1.0979,5.656,5.7494,0.0934,0
45.0,45.0,279.0,306.0,1.0968,5.6312,5.7236,0.0924,0
46.0,46.0,279.0,307.0,1.1004,5.6312,5.7268,0.0956,0
47.0,47.0,280.0,308.0,1.1,5.6348,5.7301,0.0953,0
48.0,48.0,321.0,358.0,1.1153,5.7714,5.8805,0.1091,0
49.0,49.0,328.0,358.0,1.0915,5.793,5.8805,0.0875,0
50.0,50.0,334.0,360.0,1.0778,5.8111,5.8861,0.075,0
2.0,54.0,332.0,360.0,1.0843,5.8051,5.8861,0.081,1
3.0,55.0,332.0,362.0,1.0904,5.8051,5.8916,0.0865,1
4.0,56.0,326.0,361.0,1.1074,5.7869,5.8889,0.102,1
5.0,57.0,322.0,359.0,1.1149,5.7746,5.8833,0.1087,1
6.0,58.0,324.0,359.0,1.108,5.7807,5.8833,0.1026,1
7.0,59.0,322.0,359.0,1.1149,5.7746,5.8833,0.1087,1
8.0,60.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
9.0,61.0,314.0,357.0,1.1369,5.7494,5.8777,0.1283,1
10.0,62.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
11.0,63.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
12.0,64.0,315.0,357.0,1.1333,5.7526,5.8777,0.1251,1
13.0,65.0,314.0,356.0,1.1338,5.7494,5.8749,0.1255,1
16.0,68.0,313.0,354.0,1.131,5.7462,5.8693,0.1231,1
17.0,69.0,312.0,354.0,1.1346,5.743,5.8693,0.1263,1
18.0,70.0,307.0,354.0,1.1531,5.7268,5.8693,0.1425,1
19.0,71.0,305.0,354.0,1.1607,5.7203,5.8693,0.149,1
20.0,72.0,305.0,354.0,1.1607,5.7203,5.8693,0.149,1
21.0,73.0,299.0,354.0,1.1839,5.7004,5.8693,0.1689,1
22.0,74.0,297.0,354.0,1.1919,5.6937,5.8693,0.1756,1
23.0,75.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
24.0,76.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
25.0,77.0,302.0,354.0,1.1722,5.7104,5.8693,0.1589,1
26.0,78.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
33.0,85.0,293.0,349.0,1.1911,5.6802,5.8551,0.1749,1
34.0,86.0,293.0,349.0,1.1911,5.6802,5.8551,0.1749,1
35.0,87.0,293.0,347.0,1.1843,5.6802,5.8493,0.1691,1
36.0,88.0,296.0,347.0,1.1723,5.6904,5.8493,0.1589,1
37.0,89.0,295.0,347.0,1.1763,5.687,5.8493,0.1623,1
38.0,90.0,297.0,347.0,1.1684,5.6937,5.8493,0.1556,1
39.0,91.0,298.0,347.0,1.1644,5.6971,5.8493,0.1522,1
40.0,92.0,299.0,346.0,1.1572,5.7004,5.8464,0.146,1
41.0,93.0,301.0,347.0,1.1528,5.7071,5.8493,0.1422,1
42.0,94.0,305.0,348.0,1.141,5.7203,5.8522,0.1319,1
43.0,95.0,307.0,348.0,1.1336,5.7268,5.8522,0.1254,1
44.0,96.0,306.0,346.0,1.1307,5.7236,5.8464,0.1228,1
45.0,97.0,303.0,345.0,1.1386,5.7137,5.8435,0.1298,1
46.0,98.0,304.0,345.0,1.1349,5.717,5.8435,0.1265,1
47.0,99.0,303.0,345.0,1.1386,5.7137,5.8435,0.1298,1
48.0,100.0,300.0,345.0,1.15,5.7038,5.8435,0.1397,1
49.0,101.0,299.0,345.0,1.1538,5.7004,5.8435,0.1431,1
50.0,102.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,1
2.0,106.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,0
3.0,107.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,0
4.0,108.0,298.0,345.0,1.1577,5.6971,5.8435,0.1464,0
5.0,109.0,299.0,345.0,1.1538,5.7004,5.8435,0.1431,0
6.0,110.0,303.0,347.0,1.1452,5.7137,5.8493,0.1356,0
7.0,111.0,304.0,348.0,1.1447,5.717,5.8522,0.1352,0
8.0,112.0,304.0,349.0,1.148,5.717,5.8551,0.1381,0
9.0,113.0,306.0,350.0,1.1438,5.7236,5.8579,0.1343,0
10.0,114.0,307.0,348.0,1.1336,5.7268,5.8522,0.1254,0
11.0,115.0,304.0,347.0,1.1414,5.717,5.8493,0.1323,0
15.0,119.0,305.0,350.0,1.1475,5.7203,5.8579,0.1376,0
16.0,120.0,307.0,353.0,1.1498,5.7268,5.8665,0.1397,0
17.0,121.0,307.0,354.0,1.1531,5.7268,5.8693,0.1425,0
18.0,122.0,307.0,355.0,1.1564,5.7268,5.8721,0.1453,0
19.0,123.0,308.0,355.0,1.1526,5.7301,5.8721,0.142,0
20.0,124.0,308.0,355.0,1.1526,5.7301,5.8721,0.142,0
21.0,125.0,309.0,355.0,1.1489,5.7333,5.8721,0.1388,0
22.0,126.0,312.0,355.0,1.1378,5.743,5.8721,0.1291,0
23.0,127.0,315.0,358.0,1.1365,5.7526,5.8805,0.1279,0
24.0,128.0,314.0,358.0,1.1401,5.7494,5.8805,0.1311,0
25.0,129.0,310.0,355.0,1.1452,5.7366,5.8721,0.1355,0
33.0,137.0,316.0,356.0,1.1266,5.7557,5.8749,0.1192,0
34.0,138.0,314.0,356.0,1.1338,5.7494,5.8749,0.1255,0
35.0,139.0,316.0,356.0,1.1266,5.7557,5.8749,0.1192,0
36.0,140.0,314.0,356.0,1.1338,5.7494,5.8749,0.1255,0
37.0,141.0,314.0,356.0,1.1338,5.7494,5.8749,0.1255,0
38.0,142.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,0
39.0,143.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,0
40.0,144.0,316.0,356.0,1.1266,5.7557,5.8749,0.1192,0
41.0,145.0,317.0,358.0,1.1293,5.7589,5.8805,0.1216,0
42.0,146.0,317.0,358.0,1.1293,5.7589,5.8805,0.1216,0
43.0,147.0,316.0,358.0,1.1329,5.7557,5.8805,0.1248,0
44.0,148.0,315.0,359.0,1.1397,5.7526,5.8833,0.1307,0
45.0,149.0,315.0,359.0,1.1397,5.7526,5.8833,0.1307,0
46.0,150.0,315.0,358.0,1.1365,5.7526,5.8805,0.1279,0
47.0,151.0,315.0,357.0,1.1333,5.7526,5.8777,0.1251,0
48.0,152.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,0
49.0,153.0,318.0,360.0,1.1321,5.7621,5.8861,0.124,0
50.0,154.0,318.0,360.0,1.1321,5.7621,5.8861,0.124,0
2.0,158.0,318.0,358.0,1.1258,5.7621,5.8805,0.1184,0
3.0,159.0,319.0,359.0,1.1254,5.7652,5.8833,0.1181,0
4.0,160.0,319.0,363.0,1.1379,5.7652,5.8944,0.1292,0
5.0,161.0,320.0,363.0,1.1344,5.7683,5.8944,0.1261,0
6.0,162.0,322.0,371.0,1.1522,5.7746,5.9162,0.1416,0
7.0,163.0,330.0,379.0,1.1485,5.7991,5.9375,0.1384,0
8.0,164.0,343.0,400.0,1.1662,5.8377,5.9915,0.1538,0
9.0,165.0,354.0,405.0,1.1441,5.8693,6.0039,0.1346,0
10.0,166.0,356.0,412.0,1.1573,5.8749,6.021,0.1461,0
11.0,167.0,366.0,427.0,1.1667,5.9026,6.0568,0.1542,0
12.0,168.0,364.0,427.0,1.1731,5.8972,6.0568,0.1596,0
13.0,169.0,371.0,434.0,1.1698,5.9162,6.073,0.1568,0
14.0,170.0,369.0,448.0,1.2141,5.9108,6.1048,0.194,0
18.0,174.0,364.0,448.0,1.2308,5.8972,6.1048,0.2076,0
19.0,175.0,363.0,469.0,1.292,5.8944,6.1506,0.2562,0
20.0,176.0,362.0,469.0,1.2956,5.8916,6.1506,0.259,0
21.0,177.0,364.0,469.0,1.2885,5.8972,6.1506,0.2534,0
22.0,178.0,361.0,469.0,1.2992,5.8889,6.1506,0.2617,0
23.0,179.0,360.0,469.0,1.3028,5.8861,6.1506,0.2645,0
24.0,180.0,362.0,462.0,1.2762,5.8916,6.1356,0.244,0
25.0,181.0,363.0,462.0,1.2727,5.8944,6.1356,0.2412,0
26.0,182.0,361.0,462.0,1.2798,5.8889,6.1356,0.2467,0
31.0,187.0,364.0,462.0,1.2692,5.8972,6.1356,0.2384,0
34.0,190.0,369.0,464.0,1.2575,5.9108,6.1399,0.2291,0
35.0,191.0,365.0,464.0,1.2712,5.8999,6.1399,0.24,0
36.0,192.0,366.0,464.0,1.2678,5.9026,6.1399,0.2373,0
37.0,193.0,368.0,469.0,1.2745,5.9081,6.1506,0.2425,0
38.0,194.0,370.0,469.0,1.2676,5.9135,6.1506,0.2371,0
39.0,195.0,382.0,490.0,1.2827,5.9454,6.1944,0.249,0
40.0,196.0,408.0,521.0,1.277,6.0113,6.2558,0.2445,0
41.0,197.0,414.0,536.0,1.2947,6.0259,6.2841,0.2582,0
42.0,198.0,400.0,536.0,1.34,5.9915,6.2841,0.2926,0
43.0,199.0,405.0,533.0,1.316,6.0039,6.2785,0.2746,0
44.0,200.0,397.0,525.0,1.3224,5.9839,6.2634,0.2795,0
45.0,201.0,394.0,519.0,1.3173,5.9764,6.2519,0.2755,0
46.0,202.0,397.0,523.0,1.3174,5.9839,6.2596,0.2757,0
47.0,203.0,388.0,517.0,1.3325,5.961,6.248,0.287,0
48.0,204.0,379.0,509.0,1.343,5.9375,6.2324,0.2949,0
49.0,205.0,377.0,507.0,1.3448,5.9322,6.2285,0.2963,0
50.0,206.0,380.0,500.0,1.3158,5.9402,6.2146,0.2744,0
2.0,210.0,383.0,510.0,1.3316,5.948,6.2344,0.2864,0
3.0,211.0,394.0,524.0,1.3299,5.9764,6.2615,0.2851,0
4.0,212.0,408.0,538.0,1.3186,6.0113,6.2879,0.2766,0
5.0,213.0,413.0,538.0,1.3027,6.0234,6.2879,0.2645,0
7.0,215.0,433.0,573.0,1.3233,6.0707,6.3509,0.2802,0
13.0,221.0,415.0,570.0,1.3735,6.0283,6.3456,0.3173,0
14.0,222.0,414.0,566.0,1.3671,6.0259,6.3386,0.3127,0
15.0,223.0,414.0,567.0,1.3696,6.0259,6.3404,0.3145,0
16.0,224.0,412.0,584.0,1.4175,6.021,6.3699,0.3489,0
17.0,225.0,405.0,585.0,1.4444,6.0039,6.3716,0.3677,0
18.0,226.0,396.0,564.0,1.4242,5.9814,6.3351,0.3537,0
19.0,227.0,396.0,565.0,1.4268,5.9814,6.3368,0.3554,0
20.0,228.0,405.0,573.0,1.4148,6.0039,6.3509,0.347,0
22.0,230.0,407.0,587.0,1.4423,6.0088,6.375,0.3662,0
23.0,231.0,409.0,585.0,1.4303,6.0137,6.3716,0.3579,0
24.0,232.0,403.0,578.0,1.4342,5.9989,6.3596,0.3607,0
25.0,233.0,402.0,578.0,1.4378,5.9965,6.3596,0.3631,0
26.0,234.0,401.0,578.0,1.4414,5.994,6.3596,0.3656,0
31.0,239.0,396.0,576.0,1.4545,5.9814,6.3561,0.3747,0
35.0,243.0,398.0,563.0,1.4146,5.9865,6.3333,0.3468,0
36.0,244.0,394.0,557.0,1.4137,5.9764,6.3226,0.3462,0
37.0,245.0,396.0,550.0,1.3889,5.9814,6.3099,0.3285,0
38.0,246.0,404.0,564.0,1.396,6.0014,6.3351,0.3337,0
39.0,247.0,408.0,564.0,1.3824,6.0113,6.3351,0.3238,0
40.0,248.0,401.0,564.0,1.4065,5.994,6.3351,0.3411,0
41.0,249.0,398.0,548.0,1.3769,5.9865,6.3063,0.3198,0
42.0,250.0,392.0,535.0,1.3648,5.9713,6.2823,0.311,0
43.0,251.0,393.0,542.0,1.3791,5.9738,6.2953,0.3215,0
44.0,252.0,397.0,536.0,1.3501,5.9839,6.2841,0.3002,0
45.0,253.0,400.0,536.0,1.34,5.9915,6.2841,0.2926,0
46.0,254.0,403.0,540.0,1.34,5.9989,6.2916,0.2927,0
47.0,255.0,416.0,543.0,1.3053,6.0307,6.2971,0.2664,0
48.0,256.0,415.0,544.0,1.3108,6.0283,6.2989,0.2706,0
49.0,257.0,414.0,536.0,1.2947,6.0259,6.2841,0.2582,0
50.0,258.0,414.0,526.0,1.2705,6.0259,6.2653,0.2394,0
3.0,263.0,415.0,528.0,1.2723,6.0283,6.2691,0.2408,0
4.0,264.0,425.0,530.0,1.2471,6.0521,6.2729,0.2208,0
5.0,265.0,427.0,534.0,1.2506,6.0568,6.2804,0.2236,0
6.0,266.0,426.0,526.0,1.2347,6.0544,6.2653,0.2109,0
7.0,267.0,421.0,525.0,1.247,6.0426,6.2634,0.2208,0
8.0,268.0,420.0,525.0,1.25,6.0403,6.2634,0.2231,0
9.0,269.0,419.0,524.0,1.2506,6.0379,6.2615,0.2236,0
10.0,270.0,417.0,523.0,1.2542,6.0331,6.2596,0.2265,0
11.0,271.0,411.0,519.0,1.2628,6.0186,6.2519,0.2333,0
12.0,272.0,406.0,519.0,1.2783,6.0064,6.2519,0.2455,0
13.0,273.0,410.0,533.0,1.3,6.0162,6.2785,0.2623,0
14.0,274.0,409.0,540.0,1.3203,6.0137,6.2916,0.2779,0
15.0,275.0,411.0,540.0,1.3139,6.0186,6.2916,0.273,0
18.0,278.0,413.0,543.0,1.3148,6.0234,6.2971,0.2737,0
19.0,279.0,415.0,543.0,1.3084,6.0283,6.2971,0.2688,0
20.0,280.0,419.0,546.0,1.3031,6.0379,6.3026,0.2647,0
21.0,281.0,423.0,541.0,1.279,6.0474,6.2934,0.246,0
22.0,282.0,422.0,539.0,1.2773,6.045,6.2897,0.2447,0
23.0,283.0,425.0,539.0,1.2682,6.0521,6.2897,0.2376,0
25.0,285.0,428.0,539.0,1.2593,6.0591,6.2897,0.2306,0
26.0,286.0,427.0,543.0,1.2717,6.0568,6.2971,0.2403,0
31.0,291.0,427.0,543.0,1.2717,6.0568,6.2971,0.2403,0
35.0,295.0,425.0,543.0,1.2776,6.0521,6.2971,0.245,0
36.0,296.0,423.0,518.0,1.2246,6.0474,6.25,0.2026,0
37.0,297.0,422.0,519.0,1.2299,6.045,6.2519,0.2069,0
39.0,299.0,422.0,519.0,1.2299,6.045,6.2519,0.2069,0
40.0,300.0,420.0,519.0,1.2357,6.0403,6.2519,0.2116,0
41.0,301.0,421.0,522.0,1.2399,6.0426,6.2577,0.2151,0
42.0,302.0,421.0,523.0,1.2423,6.0426,6.2596,0.217,0
43.0,303.0,418.0,520.0,1.244,6.0355,6.2538,0.2183,0
44.0,304.0,421.0,522.0,1.2399,6.0426,6.2577,0.2151,0
45.0,305.0,420.0,520.0,1.2381,6.0403,6.2538,0.2135,0
46.0,306.0,422.0,524.0,1.2417,6.045,6.2615,0.2165,0
47.0,307.0,424.0,523.0,1.2335,6.0497,6.2596,0.2099,0
48.0,308.0,425.0,523.0,1.2306,6.0521,6.2596,0.2075,0
49.0,309.0,423.0,522.0,1.234,6.0474,6.2577,0.2103,0
50.0,310.0,422.0,522.0,1.237,6.045,6.2577,0.2127,0
51.0,311.0,422.0,524.0,1.2417,6.045,6.2615,0.2165,0
3.0,315.0,423.0,524.0,1.2388,6.0474,6.2615,0.2141,0
4.0,316.0,423.0,530.0,1.253,6.0474,6.2729,0.2255,0
5.0,317.0,427.0,535.0,1.2529,6.0568,6.2823,0.2255,0
6.0,318.0,428.0,535.0,1.25,6.0591,6.2823,0.2232,0
7.0,319.0,437.0,544.0,1.2449,6.0799,6.2989,0.219,0
8.0,320.0,441.0,550.0,1.2472,6.089,6.3099,0.2209,0
9.0,321.0,440.0,550.0,1.25,6.0868,6.3099,0.2231,0
10.0,322.0,445.0,554.0,1.2449,6.0981,6.3172,0.2191,0
11.0,323.0,446.0,561.0,1.2578,6.1003,6.3297,0.2294,0
12.0,324.0,443.0,579.0,1.307,6.0936,6.3613,0.2677,0
13.0,325.0,445.0,579.0,1.3011,6.0981,6.3613,0.2632,0
14.0,326.0,444.0,582.0,1.3108,6.0958,6.3665,0.2707,0
18.0,330.0,446.0,585.0,1.3117,6.1003,6.3716,0.2713,0
19.0,331.0,445.0,581.0,1.3056,6.0981,6.3648,0.2667,0
20.0,332.0,443.0,581.0,1.3115,6.0936,6.3648,0.2712,0
21.0,333.0,442.0,581.0,1.3145,6.0913,6.3648,0.2735,0
22.0,334.0,446.0,580.0,1.3004,6.1003,6.363,0.2627,0
23.0,335.0,448.0,579.0,1.2924,6.1048,6.3613,0.2565,0
24.0,336.0,449.0,579.0,1.2895,6.107,6.3613,0.2543,0
25.0,337.0,445.0,579.0,1.3011,6.0981,6.3613,0.2632,0
26.0,338.0,443.0,579.0,1.307,6.0936,6.3613,0.2677,0
27.0,339.0,437.0,579.0,1.3249,6.0799,6.3613,0.2814,0
30.0,342.0,439.0,579.0,1.3189,6.0845,6.3613,0.2768,0
34.0,346.0,433.0,572.0,1.321,6.0707,6.3491,0.2784,0
35.0,347.0,431.0,572.0,1.3271,6.0661,6.3491,0.283,0
36.0,348.0,430.0,572.0,1.3302,6.0638,6.3491,0.2853,0
37.0,349.0,437.0,576.0,1.3181,6.0799,6.3561,0.2762,0
38.0,350.0,435.0,576.0,1.3241,6.0753,6.3561,0.2808,0
39.0,351.0,433.0,561.0,1.2956,6.0707,6.3297,0.259,0
40.0,352.0,432.0,561.0,1.2986,6.0684,6.3297,0.2613,0
41.0,353.0,432.0,553.0,1.2801,6.0684,6.3154,0.247,0
42.0,354.0,431.0,558.0,1.2947,6.0661,6.3244,0.2583,0
43.0,355.0,432.0,553.0,1.2801,6.0684,6.3154,0.247,0
44.0,356.0,432.0,547.0,1.2662,6.0684,6.3044,0.236,0
45.0,357.0,432.0,562.0,1.3009,6.0684,6.3315,0.2631,0
46.0,358.0,432.0,565.0,1.3079,6.0684,6.3368,0.2684,0
47.0,359.0,430.0,564.0,1.3116,6.0638,6.3351,0.2713,0
48.0,360.0,427.0,551.0,1.2904,6.0568,6.3117,0.2549,0
49.0,361.0,426.0,549.0,1.2887,6.0544,6.3081,0.2537,0
50.0,362.0,426.0,549.0,1.2887,6.0544,6.3081,0.2537,0
2.0,366.0,429.0,556.0,1.296,6.0615,6.3208,0.2593,0
3.0,367.0,432.0,563.0,1.3032,6.0684,6.3333,0.2649,0
4.0,368.0,435.0,579.0,1.331,6.0753,6.3613,0.286,0
5.0,369.0,438.0,580.0,1.3242,6.0822,6.363,0.2808,0
6.0,370.0,438.0,582.0,1.3288,6.0822,6.3665,0.2843,0
7.0,371.0,436.0,577.0,1.3234,6.0776,6.3578,0.2802,0
8.0,372.0,435.0,578.0,1.3287,6.0753,6.3596,0.2843,0
9.0,373.0,435.0,576.0,1.3241,6.0753,6.3561,0.2808,0
10.0,374.0,471.0,626.0,1.3291,6.1549,6.4394,0.2845,0
11.0,375.0,471.0,628.0,1.3333,6.1549,6.4425,0.2876,0
12.0,376.0,466.0,641.0,1.3755,6.1442,6.463,0.3188,0
13.0,377.0,467.0,623.0,1.334,6.1463,6.4345,0.2882,0
17.0,381.0,470.0,639.0,1.3596,6.1527,6.4599,0.3072,0
18.0,382.0,470.0,643.0,1.3681,6.1527,6.4661,0.3134,0
19.0,383.0,470.0,632.0,1.3447,6.1527,6.4489,0.2962,0
20.0,384.0,468.0,632.0,1.3504,6.1485,6.4489,0.3004,0
21.0,385.0,467.0,632.0,1.3533,6.1463,6.4489,0.3026,0
22.0,386.0,472.0,635.0,1.3453,6.157,6.4536,0.2966,0
23.0,387.0,473.0,635.0,1.3425,6.1591,6.4536,0.2945,0
24.0,388.0,474.0,644.0,1.3586,6.1612,6.4677,0.3065,0
25.0,389.0,471.0,642.0,1.3631,6.1549,6.4646,0.3097,0
30.0,394.0,481.0,638.0,1.3264,6.1759,6.4583,0.2824,0
34.0,398.0,481.0,627.0,1.3035,6.1759,6.4409,0.265,0
35.0,399.0,481.0,627.0,1.3035,6.1759,6.4409,0.265,0
36.0,400.0,481.0,624.0,1.2973,6.1759,6.4362,0.2603,0
37.0,401.0,482.0,627.0,1.3008,6.1779,6.4409,0.263,0
38.0,402.0,482.0,627.0,1.3008,6.1779,6.4409,0.263,0
39.0,403.0,482.0,633.0,1.3133,6.1779,6.4505,0.2726,0
40.0,404.0,481.0,624.0,1.2973,6.1759,6.4362,0.2603,0
41.0,405.0,480.0,620.0,1.2917,6.1738,6.4297,0.2559,0
42.0,406.0,479.0,617.0,1.2881,6.1717,6.4249,0.2532,0
43.0,407.0,477.0,620.0,1.2998,6.1675,6.4297,0.2622,0
44.0,408.0,477.0,625.0,1.3103,6.1675,6.4378,0.2703,0
45.0,409.0,477.0,620.0,1.2998,6.1675,6.4297,0.2622,0
46.0,410.0,476.0,624.0,1.3109,6.1654,6.4362,0.2708,0
47.0,411.0,476.0,623.0,1.3088,6.1654,6.4345,0.2691,0
48.0,412.0,476.0,627.0,1.3172,6.1654,6.4409,0.2755,0
49.0,413.0,475.0,628.0,1.3221,6.1633,6.4425,0.2792,0
50.0,414.0,476.0,636.0,1.3361,6.1654,6.4552,0.2898,0
2.0,418.0,480.0,649.0,1.3521,6.1738,6.4754,0.3016,0
3.0,419.0,483.0,671.0,1.3892,6.18,6.5088,0.3288,0
4.0,420.0,488.0,717.0,1.4693,6.1903,6.5751,0.3848,0
5.0,421.0,490.0,748.0,1.5265,6.1944,6.6174,0.423,0
6.0,422.0,488.0,726.0,1.4877,6.1903,6.5876,0.3973,0
7.0,423.0,490.0,754.0,1.5388,6.1944,6.6254,0.431,0
8.0,424.0,490.0,754.0,1.5388,6.1944,6.6254,0.431,0
9.0,425.0,493.0,791.0,1.6045,6.2005,6.6733,0.4728,0
10.0,426.0,490.0,775.0,1.5816,6.1944,6.6529,0.4585,0
11.0,427.0,490.0,773.0,1.5776,6.1944,6.6503,0.4559,0
12.0,428.0,487.0,770.0,1.5811,6.1883,6.6464,0.4581,0
13.0,429.0,492.0,786.0,1.5976,6.1985,6.667,0.4685,0
14.0,430.0,495.0,786.0,1.5879,6.2046,6.667,0.4624,0
18.0,434.0,494.0,786.0,1.5911,6.2025,6.667,0.4645,0
19.0,435.0,496.0,786.0,1.5847,6.2066,6.667,0.4604,0
20.0,436.0,495.0,786.0,1.5879,6.2046,6.667,0.4624,0
21.0,437.0,495.0,786.0,1.5879,6.2046,6.667,0.4624,0
22.0,438.0,497.0,786.0,1.5815,6.2086,6.667,0.4584,0
25.0,441.0,496.0,786.0,1.5847,6.2066,6.667,0.4604,0
26.0,442.0,499.0,786.0,1.5752,6.2126,6.667,0.4544,0
